variable	1	2	3	4	5	6	7	8
fortsätta	13	24	86	195	334	399	350	104
försöka	28	52	159	409	691	892	760	235
glömma	13	24	95	220	337	429	360	107
komma	28	61	189	455	775	1012	921	281
planera	7	16	37	109	186	230	196	62
riskera	9	14	32	70	110	99	63	19
slippa	20	36	90	258	436	601	515	146
sluta	18	34	82	227	392	549	464	129
vägra	18	29	83	213	366	515	410	111
