variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.20074150413686886	0.21925699382596883	0.23777248351506883	0.2562879732041688	0.22851473867051886
försöka	0.17048208083942623	0.16084876123360456	0.1512154416277829	0.1415821220219612	0.1560321014306937
glömma	0.2002793744508982	0.19687688109323798	0.19347438773557776	0.19007189437791755	0.19517563441440788
komma	0.3224168142608034	0.3224168142608034	0.3224168142608034	0.3224168142608034	0.3224168142608034
planera	0.18041211253956424	0.1365846055085875	0.09275709847761078	0.048929591446634044	0.11467085199309915
riskera	0.14310285293211594	0.14405848638312585	0.14501411983413573	0.14596975328514558	0.14453630310863078
slippa	0.19740426658027405	0.16366699708716864	0.12992972759406327	0.09619245810095788	0.14679836234061597
sluta	0.13325465021877297	0.11924179667984303	0.10522894314091308	0.09121608960198313	0.11223536991037805
vägra	0.04461040016003837	0.056616243643562374	0.0686220871270864	0.08062793061061041	0.06261916538532439
mean	0.17696711734652915	0.1688408421906558	0.16071456703478246	0.1525882918789091	0.16477770461271912
