variable	community	freq	trend	sclass	cohort	value	value2	speaker	indvalue	yob
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	Kajsala	0.6666666666666666	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	lokisse	0.21052631578947367	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	sallybuse	0.6666666666666666	1960
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	Spookie	1.0	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	Immer	0.0	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	bili	1.0	1960
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	MissLillan	1.0	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	anzita	0.0	1960
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.5048732943469785	0.4019926359107646	Shizuka	0.0	1960
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.4107142857142857	0.3392857142857143	Goya	0.5	1963
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.4107142857142857	0.3392857142857143	Dilong	1.0	1963
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.4107142857142857	0.3392857142857143	Gumbo	0.0	1962
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.4107142857142857	0.3392857142857143	de Robespierre	0.14285714285714285	1963
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	hymafr	0.5454545454545454	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	blomman 2	0.0	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	mamita64	0.6111111111111112	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	Linaek	0.25	1964
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	fabler	0.8	1964
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	Nilsfar	0.5	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	faster	1.0	1964
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.5466540404040404	0.22279040404040407	Hillbillie	0.6666666666666666	1964
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Houdini	0.0	1966
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	nobilis	1.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Hedi	0.125	1966
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Yrrepyrr	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Marlene	0.16	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Pethra	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	mimamima	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Sinnika	1.0	1966
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Piri	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	solstickan41	1.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	snattran	0.3333333333333333	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Pejo	1.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Cattis40	0.5	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Bette	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Skahlmann	1.0	1966
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.3823958333333334	0.40070312499999994	Hemliga damen	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	Helle68	0.0	1969
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	Humblebee	0.0	1968
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	Bellevue	1.0	1968
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	Zizzla	1.0	1968
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	Iorlover	0.5	1969
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.4513888888888889	0.4161324786324787	MymlanMy	0.125	1968
