variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.2158470186424955	0.2255917902301386	0.23533656181778173	0.24508133340542487	0.2304641760239602
försöka	0.16647075059678573	0.16060282680210503	0.15473490300742443	0.14886697921274372	0.15766886490476473
glömma	0.20200053451908384	0.19525755356822652	0.18851457261736926	0.181771591666512	0.1918860630927979
komma	0.323570395566124	0.323570395566124	0.323570395566124	0.323570395566124	0.323570395566124
planera	0.15750577367942872	0.12471541799124619	0.09192506230306369	0.05913470661488116	0.10832024014715495
riskera	0.13508126091315123	0.14574705345748892	0.15641284600182673	0.16707863854616453	0.15107994972965785
slippa	0.18860949573711852	0.1609362600263282	0.13326302431553788	0.10558978860474758	0.14709964217093305
sluta	0.12097164517311904	0.11393735940217722	0.10690307363123538	0.09986878786029357	0.1104202165167063
vägra	0.055418306793331984	0.06120684133879392	0.06699537588425586	0.07278391042971774	0.06410110861152488
mean	0.17394168684673764	0.1679517220425143	0.161961757238291	0.15597179243406767	0.16495673964040264
