variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.055732821431588	0.055732821431588	0.055732821431588	0.055732821431588	0.055732821431588
försöka	0.1355212381845286	0.07062370517364679	0.01716928741886954	0.05333874607760848	0.06916324421366335
glömma	0.046259080221609156	0.045424068801620615	0.045424068801620615	0.045424068801620615	0.04563282165661775
komma	0.24305706942395097	0.19006972849079826	0.15534258201468829	0.1381068571109792	0.18164405926010418
planera	0.04096068902417428	0.03171725482535558	0.02366983144839299	0.017849310906684186	0.028549271551151757
riskera	0.05910713773667201	0.04164117103831004	0.04164117103831003	0.04389089328116766	0.046570093273614936
slippa	0.08607718727018512	0.042683855185475655	0.009228988921397924	0.02887929317732421	0.04171733113859573
sluta	0.07170300935793562	0.04288076970015971	0.014058530042383624	0.016630112753692625	0.0363181054635429
vägra	0.04581923865225876	0.043409767021760415	0.05059049029232596	0.06131082181026712	0.05028257944415306
mean	0.08713749681143361	0.06268701574096834	0.04587308571217522	0.05124032503899245	0.061734480825892404
