speaker	yob	cohort10	cohort5	försöka	fortsätta	komma	slippa	sluta	vägra	coherence
JAG är BÄST	1973	3	6	-0.006658143322222254	0.2238588548	-0.40043502254896857	-0.044233102966666715	0.06521740980000013	0.118043688245977	0.0
Jennie med ie	1976	3	6	0.028695392031313105	0.30356899972753615	-0.5552265808661064	0.022433563699999937	0.009661854244444545	0.09370291745490189	0.6666666666666667
modestyclara	1979	3	7	0.011860375196296236	-0.1479360169948718	0.12892115230123458	0.022433563699999937	0.06521740980000013	0.1525264468666666	0.6666666666666667
lokisse	1961	1	3	0.00889741223333329	-0.3989481627438597	-0.371604195741844	0.022433563699999937	0.033967409800000126	-0.5218921577844962	0.0
Lavish	1986	4	8	0.02347368341977396	-0.6094744785333334	0.06232200106666663	0.022433563699999937	0.06521740980000013	-0.023944141368627547	0.33333333333333326
Beckah82	1983	4	8	0.04190440524032635	-0.23804590710476192	0.13205816909945356	-0.09295105168461548	0.06521740980000013	0.11085978019999998	0.33333333333333326
Dorian Ertymexx	1973	3	6	0.04268623210910971	-0.22852209758095243	0.08649057111096337	0.004576420842857032	0.006393880388235407	-0.1429280985878788	0.33333333333333326
Pallas	1974	3	6	0.023256386592307665	0.39052552146666664	0.27402130085919774	0.022433563699999937	0.04140788599047629	0.1525264468666666	1.0
idiblon	1982	3	7	0.048897412233333326	0.39052552146666664	-0.2749380875160105	0.022433563699999937	0.06521740980000013	0.1525264468666666	0.6666666666666667
guldplutt	1971	2	5	0.003442866778787912	-0.4515797416912281	-0.5815917661154639	-0.04899500772857146	0.06521740980000013	-0.05580688646666676	0.33333333333333337
abuelita	1951	1	1	0.048897412233333326	-0.22350956625263163	0.0014961082095237277	0.022433563699999937	0.06521740980000013	0.09592267328176096	0.6666666666666667
allakantralla	1976	3	6	0.048897412233333326	0.20870733964848487	0.182024483943379	0.022433563699999937	-0.021739111939130362	0.05252644686666663	0.6666666666666667
Emmel	1973	3	6	0.03655173322098759	-0.19280781186666668	0.10711920851347512	0.022433563699999937	-0.13478259019999983	0.009669304009523705	0.33333333333333326
saltflingan	1990	4	9	0.0057939639574712265	-0.04807096976140357	0.21014272475087714	0.003565639171698054	0.015217409800000081	-0.15182137922028993	0.33333333333333326
mamita64	1965	2	4	0.025368000468627416	0.0016366325777777968	-0.41564674893333337	-0.030198015247368537	0.06521740980000013	-0.0013197069794872451	0.0
hejsvej	1983	4	8	0.0018385887039215065	0.12385885479999992	0.06101991773333326	0.022433563699999937	0.008074552657142964	-0.1632630268175439	0.6666666666666667
Miss Cee	1981	3	7	-0.06099269765677662	-0.3153568314745098	-0.5191602624468469	0.022433563699999937	-0.23478259019999992	-0.05155518578639462	0.6666666666666667
BrödernaBus	1980	3	7	0.025641598279844913	0.33496996591111106	0.004109348627642229	0.022433563699999937	0.06521740980000013	0.1525264468666666	1.0
Gladabarnensmamma	1983	4	8	0.048897412233333326	-0.29368500484912285	0.33879769551111105	0.022433563699999937	-0.0014492568666665262	0.11085978019999998	0.33333333333333326
Ett två tre	1986	4	8	0.048897412233333326	-0.10947447853333336	0.38478387307623596	0.022433563699999937	0.06521740980000013	0.1525264468666666	0.6666666666666667
AmandaBrun	1985	4	8	0.048897412233333326	0.2996164305575757	0.289311234259944	0.022433563699999937	0.06521740980000013	0.03487938804313717	1.0
mandelblomma	1990	4	9	0.02848924896802718	0.39052552146666664	0.2434656771021696	0.022433563699999937	-0.025691681109090814	-0.08276767078039227	0.33333333333333326
Joje	1975	3	6	0.0385881338828179	-0.23016413370574718	0.27696194671884056	0.022433563699999937	0.06521740980000013	-0.3474735531333334	0.33333333333333326
Amulett	1976	3	6	-0.07610258776666667	-0.07101294007179493	-0.3928807914865249	0.022433563699999937	0.006393880388235407	-0.2474735531333334	0.33333333333333337
kicki08	1978	3	7	0.010922728689029548	0.2238588548	0.32897794840322836	0.022433563699999937	-0.045893701311111035	0.1525264468666666	0.6666666666666667
NadiaMi	1975	3	6	0.04399545144901962	0.17101332634471544	-0.592361724778744	0.022433563699999937	0.04196159584651171	0.1391931135333333	0.6666666666666667
