variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2	speaker	indvalue	yob
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.10526315789473684	1	0	0	0	0.10526315789473684	lokisse	0.21052631578947367	1961
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.10526315789473684	1	0	0	0	0.10526315789473684	anzita	0.0	1960
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	hymafr	0.5454545454545454	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	mamita64	0.6111111111111112	1965
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	Hedi	0.125	1966
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	Hillbillie	0.6666666666666666	1964
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	Piri	0.0	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137	Cattis40	0.5	1967
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203	Väntarochlängtar	0.0	1971
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203	Gladhannapanna	0.375	1972
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203	guldplutt	0.15789473684210525	1971
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203	Helene70	0.14285714285714285	1971
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203	Jordgubbssmak	1.0	1968
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	Jennie med ie	0.9130434782608695	1976
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	Butterscotch	0.45	1975
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	CeeJay	0.2727272727272727	1973
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	Pallas	1.0	1974
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	Dorian Ertymexx	0.38095238095238093	1973
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	Gojtan	0.8666666666666667	1976
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	JAG är BÄST	0.8333333333333334	1973
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304	allakantralla	0.8181818181818182	1976
