yob_start	yob_end	ntokens	nauthors
1960	1964	2822245.0	43.0
1965	1969	5035326.0	127.0
1971	1975	26531703.0	517.0
1976	1980	39375349.0	1074.0
1981	1985	48684443.0	1453.0
1986	1990	31465500.0	1013.0
1991	1992	975915.0	74.0
