variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.24845602648558973	0.09194672964078698	0.13555000334275524	0.2823696838093426	0.18958061081961863
försöka	0.08106139613123431	0.04402470224770427	0.0161723905304636	0.059398487017824686	0.050164243981806717
glömma	0.00291307904246485	0.00032013864720592533	0.004385664634724673	0.006573148261745043	0.003548007646535123
komma	0.2592510644022457	0.1585621950927278	0.016198406903145557	0.1485236735881258	0.1456338349965612
planera	0.009214026714026768	0.0019436119436119087	0.007959381887953323	0.01389295889295887	0.008252494859637718
riskera	0.100357984252215	0.05849266728387614	0.012046359470810043	0.0642330781753859	0.058782522295571765
slippa	0.049288544406102086	0.025933214077530464	0.011504557509925628	0.03806625596463076	0.031198142989547234
sluta	0.021724168012058565	0.029464034674154926	0.030996996189948	0.025301078215576367	0.026871569272934465
vägra	0.1657007457014481	0.07462715078561244	0.06378951433063584	0.15727147290313237	0.11534722093020719
mean	0.10421855946082058	0.05392382715480121	0.033178141644484654	0.08840331520319138	0.06993096086582445
