variable	1	2	3	4
behaga	8	65	221	104
fortsätta	37	281	733	454
försöka	80	568	1583	995
glömma	37	315	766	467
komma	89	644	1787	1202
lova	15	123	279	136
planera	23	146	416	258
riskera	23	102	209	82
slippa	56	348	1037	661
sluta	52	309	941	593
vägra	47	296	881	521
