variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.1257208473691921	0.008790599656920528	0.019070672232870733	0.02262314792930148	0.04405131679707121
försöka	0.027110660860880154	0.06550043643373116	0.00843663839920733	0.04747159338853896	0.0371298322705894
glömma	0.10005668723383715	0.019741299316984373	0.012376623449908808	0.022962289438121397	0.03878422485971293
komma	0.028277734449934866	0.03939471779083528	0.0030351391226751123	0.0397954190295976	0.027625752598260715
planera	0.0014163401563236436	0.03627972756960858	0.020567706584994436	0.041394822008058316	0.024914649079746245
riskera	0.11943027644708348	0.07037443757500131	0.026873108358534053	0.04582482176181901	0.06562566103560946
slippa	0.012862850747550558	0.014517770034015443	0.010055985531403966	0.025640562824239266	0.015769292284302308
sluta	0.05037347044118018	0.036462853633352665	0.018126606581014948	0.0508042431103381	0.03894179344147147
vägra	0.1852925339354225	0.05890508015530388	0.02470359017477658	0.09685385031312926	0.09143876364465806
mean	0.07228237796015607	0.03888521357397259	0.015916230048376216	0.04370786108923816	0.042697920667935756
