variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.13866909141770858	0.13866909141770858	0.13866909141770858	0.13866909141770858	0.13866909141770858
försöka	0.3373376130133959	0.1803603497477029	0.0366958832703095	0.13359417678368213	0.1719970057037726
glömma	0.11004569071763974	0.10624731228280133	0.10624731228280133	0.10624731228280133	0.10719690689151093
komma	0.6433832144575279	0.4855863612273604	0.3948033466778914	0.34452688944066917	0.4670749529508622
planera	0.14394149569328485	0.09601644931564007	0.04809140293799528	0.00987973040455204	0.07448226958786806
riskera	0.16836762851526826	0.09361325087859892	0.0643491193544303	0.1056811955105194	0.10800279856470422
slippa	0.1856059227107958	0.09272354637966558	0.010736464614424054	0.07486360418966276	0.09098238447363705
sluta	0.16177878974855053	0.10465276652753579	0.047526743306520146	0.01563044187708201	0.08239718536492212
vägra	0.10590287059512955	0.10590287059512955	0.11347229720070257	0.1378473504649689	0.11578134721398264
mean	0.22167025742992236	0.1559746664857937	0.10673240678475368	0.1185488658190718	0.1507315491298854
