variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.2851373887239407	0.018681048054996152	0.10324338725982452	0.07155106392321786	0.1196532219904948
försöka	0.008677100651622527	0.12322463397360839	0.05506924211607944	0.06773447668421584	0.06367636335638155
glömma	0.14671499926090548	0.0868903508853427	0.05704773334279367	0.040094735538655835	0.08268695475692442
komma	0.2866015905672713	0.13264490701309867	0.0031308206419654594	0.13496828359376645	0.13933640045402546
planera	0.06462552542113939	0.03851064784561377	0.035346018242380484	0.0316967003471939	0.04254472296408189
riskera	0.06364295634512619	0.027531459669394714	0.013994598165232373	0.07040435813247944	0.04389334307805818
slippa	0.026499981762103553	0.07657666770807847	0.03677998986356734	0.03317144877377087	0.04325702202688006
sluta	0.013715594950774679	0.031024185061068632	0.058239998366050094	0.08656516376196233	0.04738623553496393
vägra	0.12932955180930727	0.04052285748541662	0.04497210160745091	0.13113659110525044	0.08649027550185631
mean	0.11388274327691011	0.06395630641073534	0.04531376551170492	0.07414698020672367	0.07432494885151851
