variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2	speaker	indvalue
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	hymafr	0.5454545454545454
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	lokisse	0.21052631578947367
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	mamita64	0.6111111111111112
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	Hedi	0.125
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	anzita	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	Hillbillie	0.6666666666666666
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	Piri	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615	Cattis40	0.5
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Jennie med ie	0.9130434782608695
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Butterscotch	0.45
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	CeeJay	0.2727272727272727
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Pallas	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Väntarochlängtar	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Dorian Ertymexx	0.38095238095238093
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Gojtan	0.8666666666666667
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	JAG är BÄST	0.8333333333333334
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	allakantralla	0.8181818181818182
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Gladhannapanna	0.375
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	TessaS	0.9
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Emmel	0.4166666666666667
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Madame Mom	0.3333333333333333
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Tyrell	0.7
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Livshlädje	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Livsglädjen	0.375
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	guldplutt	0.15789473684210525
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Helene70	0.14285714285714285
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	IsaN	0.6666666666666666
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Ninnis75	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	NadiaMi	0.7804878048780488
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Fama123	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Myra	0.46153846153846156
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Jordgubbssmak	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Vitros	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103	Solkattan	0.6666666666666666
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Anova	0.25
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Tida77	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	idiblon	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	hannis	0.3333333333333333
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Kina79	0.75
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Miss Cee	0.29411764705882354
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	RiNan	0.6363636363636364
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Lorelei	1.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	hejsvej	0.7333333333333333
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	ModestyB	0.4
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	giftgrodan	0.6666666666666666
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Anatha	0.5
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Fridapida	0.3333333333333333
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283	Pyris	0.5555555555555556
