variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.13408764694578862	0.018646531503432207	0.026293521752193016	0.034254892941350534	0.053320648285691094
försöka	0.10816013864815954	0.08081094893295782	0.010436552626384543	0.04087527076417008	0.060070727742917995
glömma	0.12204542288109932	0.04283384340457802	0.009257616905923083	0.025020521080037106	0.04978935106790938
komma	0.42608472868989766	0.25659212470300885	0.049288983026542	0.16517609009865036	0.22428548162952472
planera	0.04200472819188049	0.039062730030297935	0.02513975412479484	0.020661806954449052	0.031717254825355576
riskera	0.05125448811064363	0.08748164091115433	0.0383860322895678	0.06692388825414397	0.061011512391377434
slippa	0.08793710910248004	0.044577766626806126	0.00625998210463119	0.03618970047319947	0.043741139576779206
sluta	0.06555788407869012	0.031032413101937606	0.020529011640309514	0.003240709335850689	0.030090004539196982
vägra	0.12809144167826536	0.00941744252517368	0.013185267740923434	0.03730636268381016	0.04700012865704316
mean	0.12946928759187828	0.06782838241548296	0.022086302467918824	0.047738804731740164	0.06678069430175507
