period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2010	emmisss	25	Gen3	2.0	0.0	2.0	0.0	1.0
2010	IaOnDaFluff	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	bonäslina	25	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Leenda	22	Gen3	4.0	2.0	2.0	0.5	0.5
2010	morotsland	29	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	VildVittra	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Dramatic Chipmunk	23	Gen3	5.0	2.0	3.0	0.4	0.6
2010	Charlotte1987	22	Gen3	1.0	1.0	0.0	1.0	0.0
2010	LadyLi	27	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Some	30	Gen3	7.0	3.0	4.0	0.42857142857142855	0.5714285714285714
2010	Hayati	19	Gen4	1.0	0.0	1.0	0.0	1.0
2010	EmelieL	19	Gen4	1.0	0.0	1.0	0.0	1.0
2010	MissLillan	49	Gen1	4.0	2.0	2.0	0.5	0.5
2010	EmmaRoSa	26	Gen3	3.0	0.0	3.0	0.0	1.0
2010	Mummyfied	20	Gen4	2.0	0.0	2.0	0.0	1.0
2010	Tizzan	26	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	Tida77	32	Gen2	1.0	0.0	1.0	0.0	1.0
2010	linas fina	26	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Tuesday	40	Gen2	7.0	4.0	3.0	0.5714285714285714	0.42857142857142855
2010	VMS	18	Gen4	1.0	1.0	0.0	1.0	0.0
2010	Åja81	28	Gen3	9.0	5.0	4.0	0.5555555555555556	0.4444444444444444
2010	Lillis 1977	32	Gen2	1.0	0.0	1.0	0.0	1.0
2010	lilaemma	29	Gen3	1.0	0.0	1.0	0.0	1.0
2010	nittioett	18	Gen4	2.0	0.0	2.0	0.0	1.0
2010	Vapor	27	Gen3	1.0	0.0	1.0	0.0	1.0
2010	MollyMilly	31	Gen2	4.0	1.0	3.0	0.25	0.75
2010	pluvdo	23	Gen3	12.0	2.0	10.0	0.16666666666666666	0.8333333333333334
2010	multivitaminjuice	21	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Hoppfull84	25	Gen3	1.0	1.0	0.0	1.0	0.0
2010	ebk88	22	Gen3	2.0	1.0	1.0	0.5	0.5
2010	Panthera leo	34	Gen2	4.0	4.0	0.0	1.0	0.0
2010	Min högsta önskan	31	Gen2	4.0	2.0	2.0	0.5	0.5
2010	mysmamma84	25	Gen3	4.0	2.0	2.0	0.5	0.5
2010	Tisseltassel	40	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	Smetanina	33	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Emma Elisabeth	19	Gen4	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	Draqnight	23	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Waite	22	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Maysan	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	MalinBN	37	Gen2	1.0	1.0	0.0	1.0	0.0
2010	TessLiihten	26	Gen3	2.0	1.0	1.0	0.5	0.5
2010	auo	32	Gen2	3.0	3.0	0.0	1.0	0.0
2010	TheLove	40	Gen2	8.0	1.0	7.0	0.125	0.875
2010	Kitt	21	Gen3	2.0	1.0	1.0	0.5	0.5
2010	Emster	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Sassa A	27	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Cami11a87	22	Gen3	6.0	3.0	3.0	0.5	0.5
2010	AlexandraH	21	Gen3	5.0	2.0	3.0	0.4	0.6
2010	Tettan	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Julia08	36	Gen2	2.0	1.0	1.0	0.5	0.5
2010	supermimmi	40	Gen2	2.0	1.0	1.0	0.5	0.5
2010	LadyBond	35	Gen2	2.0	1.0	1.0	0.5	0.5
2010	M1986	23	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Desiree1988	21	Gen3	2.0	1.0	1.0	0.5	0.5
2010	Häpp	40	Gen2	3.0	0.0	3.0	0.0	1.0
2010	noorah	22	Gen3	1.0	1.0	0.0	1.0	0.0
2010	BertilB	43	Gen1	9.0	5.0	4.0	0.5555555555555556	0.4444444444444444
2010	Mammat3	23	Gen3	1.0	1.0	0.0	1.0	0.0
2010	TheOnlyOne	31	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Skruttis	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Bine78	31	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Erika Ö	21	Gen3	2.0	0.0	2.0	0.0	1.0
2010	clembke	29	Gen3	7.0	7.0	0.0	1.0	0.0
2010	Plommonben	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Zezana	30	Gen3	3.0	0.0	3.0	0.0	1.0
2010	Lorelei	32	Gen2	4.0	4.0	0.0	1.0	0.0
2010	Snooze	29	Gen3	3.0	0.0	3.0	0.0	1.0
2010	Tilcha	25	Gen3	1.0	0.0	1.0	0.0	1.0
2010	hejsvej	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Mullepop	21	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Kaosmamma	28	Gen3	5.0	4.0	1.0	0.8	0.2
2010	never	43	Gen1	4.0	3.0	1.0	0.75	0.25
2010	Keyrie	24	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Nea 85	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Jossebell	41	Gen1	2.0	2.0	0.0	1.0	0.0
2010	Velour	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	How about cupcakes	34	Gen2	5.0	3.0	2.0	0.6	0.4
2010	vimsan06	23	Gen3	5.0	5.0	0.0	1.0	0.0
2010	Baronessan	35	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Hanna01	22	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	Amulett	34	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Bradbury	33	Gen2	5.0	0.0	5.0	0.0	1.0
2010	Sofia8504	24	Gen3	2.0	2.0	0.0	1.0	0.0
2010	Hettie	30	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	sugarrush	40	Gen2	3.0	0.0	3.0	0.0	1.0
2010	Jenkan82	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	mimbo	33	Gen2	6.0	0.0	6.0	0.0	1.0
2010	raya	21	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Mmmbop	30	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Ung Mamma 91	18	Gen4	1.0	1.0	0.0	1.0	0.0
2010	Passionsblomma	26	Gen3	2.0	2.0	0.0	1.0	0.0
2010	Avena	30	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Helena D	35	Gen2	1.0	1.0	0.0	1.0	0.0
2010	bmbengtsson	29	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Ida1990	19	Gen4	1.0	1.0	0.0	1.0	0.0
2010	elinnnnn	40	Gen2	3.0	0.0	3.0	0.0	1.0
2010	Starchild	40	Gen2	1.0	0.0	1.0	0.0	1.0
