variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	mean
fortsätta	0.054328623787146424	0.15180654647059577	0.05011770369208157	0.02547737595807187	0.015179122337823703	0.023268572423826073	0.009898440963929556	0.08118849473000256	0.05140811004543469
försöka	0.11011280954239355	0.10590407338377905	0.07133766851699608	0.03608044802877586	0.002862119718919365	0.004233343890680641	0.027751801126359665	0.0394149117382937	0.04971214699327474
glömma	0.15488951985234134	0.04027775738803796	0.04972224053893537	0.036271679822009295	0.0024388906654723153	0.01168150935358303	0.013525104048733194	0.03884562525137858	0.043456540865061385
komma	0.16442241441052596	0.05403018209058047	0.011277573440658661	0.027453465770519492	0.0011120855747295266	0.010029877984768287	0.025142746484323575	0.04410566660073256	0.04219675154460482
planera	0.05181120600749731	0.015386566912593928	0.047154772766159564	0.021826003088952974	0.018818746410641032	0.00587243835353074	0.01886972053673043	0.015282771794608477	0.024377778233839305
riskera	0.1111111111111111	0.0295127222195435	0.09578832533143264	0.01199960125206001	0.017117869236926778	0.04660210581061449	0.03211476285224185	0.03334256510078055	0.04719863286433886
slippa	0.10813434438153213	0.06397966528321875	0.024927764379565454	0.0003755397162014118	0.00572121839925166	0.0021163034296901584	0.01770939615838918	0.03857101318170064	0.03269190561619367
sluta	0.12305591468817734	0.0516537568351374	0.01541983403087388	0.007873042021200649	0.015246701249526984	0.0044475524335725325	0.014478272199104691	0.019214592334725333	0.03142370822403985
vägra	0.1775445815183706	0.04071288193640954	0.005329601854038524	0.01927028518982843	0.02477694305560818	0.019538680143743936	0.028976681994196563	0.02486259628348264	0.0426265314969598
mean	0.117267836144344	0.06147379472443293	0.04123060939452686	0.02073638231640222	0.01147485518321106	0.014198931536001099	0.020940769596000965	0.037203137446189444	0.04056578954263855
