variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.3323448298777246	1	0	0	0	0.24846325093035615
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5581160165219782	0	1	0	0	0.29919524768218103
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.6755099760633816	0	0	1	0	0.26247596100150283
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.5827857365306758	0	0	0	1	0.35696667601058757
försöka	0.9511025877666667	30164.0	up	initiative	1	0.914615920270331	1	0	0	0	0.09133003640561085
försöka	0.9511025877666667	30164.0	up	initiative	2	0.9734685407869045	0	1	0	0	0.027389523220662956
försöka	0.9511025877666667	30164.0	up	initiative	3	0.957688832688646	0	0	1	0	0.045135315207631255
försöka	0.9511025877666667	30164.0	up	initiative	4	0.9322655233157842	0	0	0	1	0.06452568161080302
glömma	0.8589009020666666	4026.0	unclear	initiative	1	0.6708447802197802	1	0	0	0	0.375729739010989
glömma	0.8589009020666666	4026.0	unclear	initiative	2	0.7239917976760082	0	1	0	0	0.31582890793417107
glömma	0.8589009020666666	4026.0	unclear	initiative	3	0.7744945794945794	0	0	1	0	0.2628965663965665
glömma	0.8589009020666666	4026.0	unclear	initiative	4	0.8333333333333333	0	0	0	1	0.23076923076923087
komma	0.6056467489333334	86311.0	up	other	1	0.19950188274361347	1	0	0	0	0.13802026687520513
komma	0.6056467489333334	86311.0	up	other	2	0.519853272685606	0	1	0	0	0.36163629707540446
komma	0.6056467489333334	86311.0	up	other	3	0.5517811550093079	0	0	1	0	0.29558930458392824
komma	0.6056467489333334	86311.0	up	other	4	0.6274677021570777	0	0	0	1	0.2767253103465171
planera	0.0661176389	1603.0	unclear	intensional	1	0.08333333333333333	1	0	0	0	0.125
planera	0.0661176389	1603.0	unclear	intensional	2	0.08481795981795982	0	1	0	0	0.13701362739824285
planera	0.0661176389	1603.0	unclear	intensional	3	0.08638888888888889	0	0	1	0	0.14974074074074084
planera	0.0661176389	1603.0	unclear	intensional	4	0.07400932400932402	0	0	0	1	0.1252465483234714
riskera	0.10120799803333334	1023.0	up	intensional	1	0.171875	1	0	0	0	0.2578125
riskera	0.10120799803333334	1023.0	up	intensional	2	0.06332182774490466	0	1	0	0	0.1088257978050878
riskera	0.10120799803333334	1023.0	up	intensional	3	0.05833333333333333	0	0	1	0	0.10500000000000007
riskera	0.10120799803333334	1023.0	up	intensional	4	0.048534798534798536	0	0	0	1	0.0821358129050437
slippa	0.9775664363000001	8760.0	unclear	other	1	0.9568256578947368	1	0	0	0	0.043174342105263164
slippa	0.9775664363000001	8760.0	unclear	other	2	0.9919775400038557	0	1	0	0	0.01357647076270562
slippa	0.9775664363000001	8760.0	unclear	other	3	0.9840895493395494	0	0	1	0	0.028108462833462793
slippa	0.9775664363000001	8760.0	unclear	other	4	0.9668285512262291	0	0	0	1	0.054684919114973744
sluta	0.9347825901999999	6460.0	up	aspectual	1	0.9574032738095238	1	0	0	0	0.056082589285714274
sluta	0.9347825901999999	6460.0	up	aspectual	2	0.9192323775566653	0	1	0	0	0.09697233874561746
sluta	0.9347825901999999	6460.0	up	aspectual	3	0.9505262775842045	0	0	1	0	0.07423369144405727
sluta	0.9347825901999999	6460.0	up	aspectual	4	0.9102092352092352	0	0	0	1	0.12189199689199687
vägra	0.8474735531333334	6864.0	up	intensional	1	0.725335952806883	1	0	0	0	0.1737025087315785
vägra	0.8474735531333334	6864.0	up	intensional	2	0.8430055357083754	0	1	0	0	0.11709501997456438
vägra	0.8474735531333334	6864.0	up	intensional	3	0.8511395438310211	0	0	1	0	0.16874100560432
vägra	0.8474735531333334	6864.0	up	intensional	4	0.7750257955697655	0	0	0	1	0.2184115729909402
