variable	community	freq	trend	sclass	cohort	value	test1	test2	test3	test4	value2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.10526315789473684	1	0	0	0	0.10526315789473684
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.40803872053872053	1	0	0	0	0.2303591470258137
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.33515037593984964	0	1	0	0	0.2818796992481203
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.6112030738034374	0	1	0	0	0.26767709990598304
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.701423781810295	0	0	1	0	0.2472304057419189
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.6458941980669092	0	0	1	0	0.28138320048386706
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53110661268556	0	0	0	1	0.3672106287064736
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.7230576441102757	0	0	0	1	0.3165055495882564
försöka	0.9511025877666667	30164.0	up	initiative	1	0.9686363636363636	1	0	0	0	0.008636363636363664
försöka	0.9511025877666667	30164.0	up	initiative	2	0.8966091058149868	1	0	0	0	0.1157711103890331
försöka	0.9511025877666667	30164.0	up	initiative	3	0.9426810477657936	0	1	0	0	0.05060092449922955
försöka	0.9511025877666667	30164.0	up	initiative	4	0.9807988962681213	0	1	0	0	0.01862769414266901
försöka	0.9511025877666667	30164.0	up	initiative	5	0.9665103841829662	0	0	1	0	0.03260976871803735
försöka	0.9511025877666667	30164.0	up	initiative	6	0.9476070595522802	0	0	1	0	0.062057465076005194
försöka	0.9511025877666667	30164.0	up	initiative	7	0.9360008920712256	0	0	0	1	0.055892052784995386
försöka	0.9511025877666667	30164.0	up	initiative	8	0.9221266652653001	0	0	0	1	0.08970008577930563
glömma	0.8589009020666666	4026.0	unclear	initiative	1	0.5625	1	0	0	0	0.4375
glömma	0.8589009020666666	4026.0	unclear	initiative	2	0.706959706959707	1	0	0	0	0.34310134310134305
glömma	0.8589009020666666	4026.0	unclear	initiative	3	0.6857142857142857	0	1	0	0	0.3771428571428571
glömma	0.8589009020666666	4026.0	unclear	initiative	4	0.7331054910002278	0	1	0	0	0.30001518948887373
glömma	0.8589009020666666	4026.0	unclear	initiative	5	0.7990613553113552	0	0	1	0	0.25155534569597066
glömma	0.8589009020666666	4026.0	unclear	initiative	6	0.7464182642754071	0	0	1	0	0.2680971522808257
glömma	0.8589009020666666	4026.0	unclear	initiative	7	0.7982456140350876	0	0	0	1	0.27608494921514315
glömma	0.8589009020666666	4026.0	unclear	initiative	8	0.9285714285714286	0	0	0	1	0.1020408163265306
komma	0.6056467489333334	86311.0	up	other	1	0.12959989294794594	1	0	0	0	0.10444266024354343
komma	0.6056467489333334	86311.0	up	other	2	0.222802546008836	1	0	0	0	0.15318553317487218
komma	0.6056467489333334	86311.0	up	other	3	0.3112023238091585	0	1	0	0	0.3131884769426715
komma	0.6056467489333334	86311.0	up	other	4	0.5695320700371411	0	1	0	0	0.341680614105548
komma	0.6056467489333334	86311.0	up	other	5	0.532392520920198	0	0	1	0	0.2922529464588043
komma	0.6056467489333334	86311.0	up	other	6	0.573939593968291	0	0	1	0	0.29900659888837355
komma	0.6056467489333334	86311.0	up	other	7	0.6288805272058902	0	0	0	1	0.28360853792638135
komma	0.6056467489333334	86311.0	up	other	8	0.6236328913103005	0	0	0	1	0.25798459772979115
planera	0.0661176389	1603.0	unclear	intensional	1	0.25	1	0	0	0	0.25
planera	0.0661176389	1603.0	unclear	intensional	2	0.027777777777777776	1	0	0	0	0.04629629629629631
planera	0.0661176389	1603.0	unclear	intensional	3	0.0	0	1	0	0	0.0
planera	0.0661176389	1603.0	unclear	intensional	4	0.1050127121555693	0	1	0	0	0.16001937090372476
planera	0.0661176389	1603.0	unclear	intensional	5	0.09166666666666667	0	0	1	0	0.15468750000000006
planera	0.0661176389	1603.0	unclear	intensional	6	0.08035714285714286	0	0	1	0	0.14349489795918363
planera	0.0661176389	1603.0	unclear	intensional	7	0.06618819776714513	0	0	0	1	0.11147485939729711
planera	0.0661176389	1603.0	unclear	intensional	8	0.09523809523809523	0	0	0	1	0.16326530612244897
riskera	0.10120799803333334	1023.0	up	intensional	1	0.5	1	0	0	0	0.5
