variable	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
fortsätta	9	4	8	16	26	60	83	112	142	192	203	196	196	154	87	17
försöka	16	12	18	34	50	109	177	232	300	391	435	457	428	332	198	37
glömma	8	5	7	17	32	63	94	126	141	196	204	225	201	159	87	20
komma	16	12	19	42	53	136	192	263	340	435	496	516	522	399	228	53
planera	5	2	8	8	6	31	45	64	73	113	114	116	109	87	54	8
riskera	6	3	7	7	6	26	32	38	43	67	47	52	31	32	16	3
slippa	13	7	13	23	26	64	115	143	183	253	299	302	289	226	123	23
sluta	9	9	12	22	26	56	92	135	164	228	273	276	251	213	110	19
vägra	11	7	11	18	22	61	86	127	162	204	242	273	224	186	99	12
