variablevariable	cohort1	cohort2	cohort3	cohort4	mean
fortsätta	0.14096428107698783	0.0016301244602920928	0.029379027903258748	0.010846857422806777	0.04570507271583636
försöka	0.09493467723116644	0.0641453584289915	0.011080894803014218	0.04114702903419243	0.052826989874341146
glömma	0.09985737086128033	0.02379758130911025	0.013543952263231684	0.00984749634153037	0.03676160019378816
komma	0.06042368305548135	0.03570281579254042	0.001988868774322028	0.030475281361519446	0.03214766224596581
planera	0.03534325533471045	0.012222914163497349	0.014784501483888157	0.0070682209855722905	0.017354722991917062
riskera	0.012427280086949363	0.07144741323313437	0.002723247422104322	0.0648341954831044	0.03785803405632311
slippa	0.059285894455160304	0.01993508988933923	0.004569685171560756	0.03486034436209984	0.029662753469540032
sluta	0.05184030740828549	0.02176328391255078	0.017922590189219267	0.0033673311450935772	0.02372337816378728
vägra	0.11627923555825415	0.018117069840641875	0.009965765576417818	0.0434087400454215	0.046942702755183835
mean	0.07459510945203064	0.029862405670010875	0.011773170398557443	0.02731727735348229	0.035886990718520306
