variable	community	freq	trend	sclass	cohort	value	value2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.41666666666666663	0.41666666666666663
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.0	0.0
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.5476190476190476	0.30158730158730157
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.6791666666666666	0.22083333333333335
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.41414141414141414	0.20707070707070707
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53125	0.46875
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405
fortsätta	0.6094744785333334	4443.0	up	aspectual	9	0.5104166666666667	0.43402777777777785
fortsätta	0.6094744785333334	4443.0	up	aspectual	10	0.40079365079365076	0.4007936507936508
fortsätta	0.6094744785333334	4443.0	up	aspectual	11	0.6378028404344195	0.4104901141743246
fortsätta	0.6094744785333334	4443.0	up	aspectual	12	0.5744902319902321	0.37837912087912084
fortsätta	0.6094744785333334	4443.0	up	aspectual	13	0.5939781709518551	0.40916197145421523
fortsätta	0.6094744785333334	4443.0	up	aspectual	14	0.5843458393458393	0.3252836299502967
fortsätta	0.6094744785333334	4443.0	up	aspectual	15	0.617105618240717	0.3885035208678432
fortsätta	0.6094744785333334	4443.0	up	aspectual	16	0.5662701429005778	0.3683346424107295
fortsätta	0.6094744785333334	4443.0	up	aspectual	17	0.5429378531073445	0.4077468160490282
fortsätta	0.6094744785333334	4443.0	up	aspectual	18	0.6240294511378848	0.3728730181771262
fortsätta	0.6094744785333334	4443.0	up	aspectual	19	0.6863212951016595	0.31459535654490484
fortsätta	0.6094744785333334	4443.0	up	aspectual	20	0.6199231739479418	0.36355429624399255
fortsätta	0.6094744785333334	4443.0	up	aspectual	21	0.674722858840506	0.35011039346868245
fortsätta	0.6094744785333334	4443.0	up	aspectual	22	0.6140795882731365	0.37705692259976004
fortsätta	0.6094744785333334	4443.0	up	aspectual	23	0.5811440730539219	0.4035828100788192
fortsätta	0.6094744785333334	4443.0	up	aspectual	24	0.6063059163059163	0.4152675628465101
fortsätta	0.6094744785333334	4443.0	up	aspectual	25	0.586244367877021	0.4138115251401381
fortsätta	0.6094744785333334	4443.0	up	aspectual	26	0.6119213269723475	0.4073908373314871
fortsätta	0.6094744785333334	4443.0	up	aspectual	27	0.6288771667892546	0.4187340011757353
fortsätta	0.6094744785333334	4443.0	up	aspectual	28	0.5735827664399094	0.3737069430946982
fortsätta	0.6094744785333334	4443.0	up	aspectual	29	0.6247126436781608	0.3876734046769718
fortsätta	0.6094744785333334	4443.0	up	aspectual	30	0.6590139140955837	0.36246740513590747
fortsätta	0.6094744785333334	4443.0	up	aspectual	31	0.8333333333333334	0.2666666666666666
fortsätta	0.6094744785333334	4443.0	up	aspectual	32	0.5	0.5
försöka	0.9511025877666667	30164.0	up	initiative	1	0.8181818181818182	0.25324675324675316
försöka	0.9511025877666667	30164.0	up	initiative	2	0.977037037037037	0.0357201646090535
försöka	0.9511025877666667	30164.0	up	initiative	3	0.8333333333333334	0.27777777777777773
försöka	0.9511025877666667	30164.0	up	initiative	4	0.8333333333333334	0.22222222222222218
försöka	0.9511025877666667	30164.0	up	initiative	5	0.9680456045923285	0.03249222518057875
försöka	0.9511025877666667	30164.0	up	initiative	6	0.9820627364027651	0.026090565232341687
försöka	0.9511025877666667	30164.0	up	initiative	7	0.8930560104814936	0.17668803518787143
försöka	0.9511025877666667	30164.0	up	initiative	8	0.9453205128205129	0.07916208791208787
försöka	0.9511025877666667	30164.0	up	initiative	9	0.9599723947550034	0.06613256518738564
försöka	0.9511025877666667	30164.0	up	initiative	10	0.9578322911656245	0.07184128171782492
försöka	0.9511025877666667	30164.0	up	initiative	11	0.9258894147411588	0.10811929953838885
försöka	0.9511025877666667	30164.0	up	initiative	12	0.9661405859166621	0.05811007106397555
försöka	0.9511025877666667	30164.0	up	initiative	13	0.9358631758493505	0.10772661647316015
försöka	0.9511025877666667	30164.0	up	initiative	14	0.9604894680049836	0.06260594225782631
försöka	0.9511025877666667	30164.0	up	initiative	15	0.9493293189069651	0.07787818320439759
försöka	0.9511025877666667	30164.0	up	initiative	16	0.9333561455423404	0.10348013271671197
försöka	0.9511025877666667	30164.0	up	initiative	17	0.9224327932190487	0.1186879764232679
försöka	0.9511025877666667	30164.0	up	initiative	18	0.916951662601013	0.12633260275211391
försöka	0.9511025877666667	30164.0	up	initiative	19	0.9467593646811	0.08340562736169255
försöka	0.9511025877666667	30164.0	up	initiative	20	0.9392779402245295	0.0936881307867311
