behaga	-0.1177083333	-0.1537583333		0.4336014244	0.5663985756
fortsätta	0.141946841	0.0268250873		0.8410571734	0.1589428266
försöka	0.0212180409	0.0075465742		0.7376438309	0.2623561691
glömma	0.0865757977	0.0302230064		0.7412387342	0.2587612658
komma	0.1108258295	0.1812954416		0.3793829498	0.6206170502
lova	0.1480758358	-0.0719340377		1.9447378362	-0.9447378362
planera	0.0542220858	-0.0213868908		1.6513404534	-0.6513404534
riskera	0.0612519338	-0.0791139532		-3.4291718429	4.4291718429
slippa	0.0240407036	-0.0011700214		1.0511581345	-0.0511581345
sluta	0.0128283664	0.0022146617		0.8527782008	0.1472217992
vägra	0.2091845103	0.0076191307		0.9648569984	0.0351430016
