variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.1261392851515099	0.18108366087657196	0.17498800517269958	0.20911784067235492	0.17283219796828408
försöka	0.0885780103292501	0.13898396387855025	0.11941279420700548	0.1067192157773478	0.11342349604803839
glömma	0.21635901025501655	0.11159930318542273	0.0815087413941167	0.12160000261670637	0.1327667643628156
komma	0.05058790196173235	0.08067847901898081	0.07127980859490912	0.036293927094200595	0.05971002916745572
planera	0.1326669865506966	0.03256522689807097	0.012944280371188062	0.054661721964116276	0.05820955394601797
riskera	0.17977909208307707	0.040203254366517296	0.05839441007029931	0.13722400707313875	0.10390019089825811
slippa	0.06813823600683189	0.10054645902682902	0.08236264172220766	0.012747131724405728	0.06594861712006857
sluta	0.08621519412775258	0.061665506187877875	0.08406449661043175	0.0509959191702021	0.07073527902406607
vägra	0.07560960642723558	0.01458581746543279	0.0313554753110592	0.08778554700706764	0.052334111552698806
mean	0.11378592476590027	0.08465685232269485	0.07959007260599076	0.09079392367772669	0.09220669334307816
