variable	community	freq	trend	sclass	cohort	value	value2	speaker	indvalue	yob	speaker2
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.41666666666666663	0.41666666666666663	sallybuse	0.6666666666666666	1960	sallybuse
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.41666666666666663	0.41666666666666663	bili	1.0	1960	bili
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.41666666666666663	0.41666666666666663	anzita	0.0	1960	anzita
fortsätta	0.6094744785333334	4443.0	up	aspectual	1	0.41666666666666663	0.41666666666666663	Shizuka	0.0	1960	Shizuka
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193	Kajsala	0.6666666666666666	1961	Kajsala
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193	lokisse	0.21052631578947367	1961	lokisse
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193	Spookie	1.0	1961	Spookie
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193	Immer	0.0	1961	Immer
fortsätta	0.6094744785333334	4443.0	up	aspectual	2	0.5754385964912281	0.376140350877193	MissLillan	1.0	1961	MissLillan
fortsätta	0.6094744785333334	4443.0	up	aspectual	3	0.0	0.0	Gumbo	0.0	1962	Gumbo
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.5476190476190476	0.30158730158730157	Goya	0.5	1963	Goya
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.5476190476190476	0.30158730158730157	Dilong	1.0	1963	Dilong
fortsätta	0.6094744785333334	4443.0	up	aspectual	4	0.5476190476190476	0.30158730158730157	de Robespierre	0.14285714285714285	1963	de Robespierre
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.6791666666666666	0.22083333333333335	Linaek	0.25	1964	Linaek
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.6791666666666666	0.22083333333333335	fabler	0.8	1964	fabler
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.6791666666666666	0.22083333333333335	faster	1.0	1964	faster
fortsätta	0.6094744785333334	4443.0	up	aspectual	5	0.6791666666666666	0.22083333333333335	Hillbillie	0.6666666666666666	1964	Hillbillie
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.41414141414141414	0.20707070707070707	hymafr	0.5454545454545454	1965	hymafr
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.41414141414141414	0.20707070707070707	blomman 2	0.0	1965	blomman 2
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.41414141414141414	0.20707070707070707	mamita64	0.6111111111111112	1965	mamita64
fortsätta	0.6094744785333334	4443.0	up	aspectual	6	0.41414141414141414	0.20707070707070707	Nilsfar	0.5	1965	Nilsfar
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53125	0.46875	Houdini	0.0	1966	Houdini
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53125	0.46875	Hedi	0.125	1966	Hedi
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53125	0.46875	Sinnika	1.0	1966	Sinnika
fortsätta	0.6094744785333334	4443.0	up	aspectual	7	0.53125	0.46875	Skahlmann	1.0	1966	Skahlmann
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	nobilis	1.0	1967	nobilis
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Yrrepyrr	0.0	1967	Yrrepyrr
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Marlene	0.16	1967	Marlene
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Pethra	0.0	1967	Pethra
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	mimamima	0.0	1967	mimamima
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Piri	0.0	1967	Piri
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	solstickan41	1.0	1967	solstickan41
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	snattran	0.3333333333333333	1967	snattran
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Pejo	1.0	1967	Pejo
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Cattis40	0.5	1967	Cattis40
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Bette	0.0	1967	Bette
fortsätta	0.6094744785333334	4443.0	up	aspectual	8	0.3327777777777778	0.36157407407407405	Hemliga damen	0.0	1967	Hemliga damen
fortsätta	0.6094744785333334	4443.0	up	aspectual	9	0.5104166666666667	0.43402777777777785	Humblebee	0.0	1968	Humblebee
