variable	fold1	fold2	fold3	fold4	mean
fortsätta	0.09009837340963839	0.044294957409949376	0.03172446643106536	0.0685668995696938	0.05867117420508673
försöka	0.03244666932219009	0.024117631279517104	0.005304033209539705	0.021752490746415	0.020905206139415475
glömma	0.051679129458998385	0.02164150583723029	0.023332710777129673	0.05855140687732269	0.03880118823767026
komma	0.03278760029805078	0.026338390934406514	0.00042210052622210226	0.02867058481031448	0.02205466914224847
planera	0.03310438116227571	0.022209583937513596	0.01306885890667096	0.017509843380262194	0.021473166846680616
riskera	0.11407866755398544	0.0674315292038012	0.026665285612361585	0.036515864362825515	0.06117283668324343
slippa	0.014559097572901192	0.003570594191050769	0.00659874588250664	0.014515728604955203	0.00981104156285345
sluta	0.014750996481628198	0.011669309501425251	0.010507978848827426	0.0050130916932945024	0.010485344131293844
vägra	0.1576641165405589	0.09017446682429092	0.03294359241728406	0.13062709093204028	0.10285231667854354
mean	0.060129892422247457	0.03460532990213167	0.016729752512400838	0.04241366677523596	0.03846966040300397
