variablevariable	cohort1	cohort2	cohort3	cohort4	cohort5	cohort6	cohort7	cohort8	cohort9	cohort10	cohort11	cohort12	cohort13	cohort14	cohort15	cohort16	mean
fortsätta	0.19564508573024292	0.17410421146220323	0.03797469096453365	0.2179086774836384	0.1429613988591802	0.007877638631137662	0.008252714696727614	0.011858631235569739	0.009282100603865362	0.04770875160157151	0.046580433955332845	0.007509750901786849	0.0024188047803813673	0.003792385459535752	0.03547496604621381	0.19560229577677057	0.07155953363679321
försöka	0.35263454712885367	0.03537111284435002	0.07999556449068523	0.002417447842714804	0.03286620557130904	0.017050376887763452	0.022407077676763087	0.013156772489592239	0.008359223142468064	0.017930005924034043	0.02323439700497465	0.028159019186633882	0.018579525997197255	0.011089594257034485	0.04733221334719284	0.013071994236125373	0.04522844237673076
glömma	0.10678876406608795	0.2337300586655472	0.0020704019239472515	0.07015804714016549	0.0013919841053862125	0.06778169457620564	0.03085010593832327	0.024193766546188322	0.02691710834288974	0.0028904925868801223	0.0019444944169403344	0.03163790282132706	0.0008234299768428155	0.033151825758957254	0.01676839900860272	0.09705062534545872	0.04675931882623438
komma	0.3098441393352533	0.09166625582974813	0.14407820526857484	0.2179897813934018	0.19713981181832185	0.1244859529720404	0.08876909659148591	0.10279654582156716	0.04917945325389217	0.03704787190957093	0.04211515248971498	0.09321108380673748	0.13392650345385226	0.19539813513470772	0.21808599226446834	0.1315579074226374	0.13608074304787343
planera	0.1	0.07600333196130672	0.042729834272469805	0.06163198241821466	0.0008848054381602119	0.051329982406436575	0.05052805248760063	0.04885193544678239	0.06366832700164934	0.003916312304025324	0.0027262604691642295	0.0009494196125472143	0.001124532136670242	0.025284181689356297	0.0213791063204182	0.06739809102450467	0.038650384686831664
riskera	0.16666666666666666	0.10225232013330773	0.04048333052474695	0.09888030319099897	0.33209465319694076	0.036951477859439086	0.127168525185669	0.0542187898575528	0.04411032039408208	0.016056546944361635	0.03171237119207117	0.04583137306506616	0.03200227836651104	0.052380385206778436	0.03177460231814948	0.09614885990784283	0.08179580025063656
slippa	0.20806974828711255	0.036594777882457685	0.04021034603441054	0.02192789995476574	0.029882691698008834	0.002614314077565405	0.003202318448315311	0.004479977579872396	0.003147288130511683	0.004320107621581526	0.010170842743999153	0.013175624533762531	0.0006365717135483617	0.005257837460436732	0.002347731628121519	0.054530072345408964	0.027535509383742433
sluta	0.29279097457566594	0.008622844162225363	0.042620655684738495	0.0076815482973875415	0.04250193388047796	0.0006042332952008733	0.006838677017687478	0.00048743616620738894	0.009597859837108258	0.02921858510450026	0.003409124082185633	0.004756732465653335	0.016758858794387765	0.0001908983687977095	0.02672273453486318	0.014046892287407409	0.03167812428465591
vägra	0.09238857286009894	0.2583468288688068	0.01619592770333822	0.09009705636415855	0.01785225654351663	0.0008449293155446957	0.017437618926872345	0.024878493443411864	0.010756683134645395	0.018776495191984877	0.009266531352502105	0.04260045589092132	0.022995183981810996	0.03778002396480895	0.01894518416293678	0.06263636141517892	0.046362412695033585
mean	0.20275872207222026	0.11296574908999475	0.04959543965193833	0.08763252712060511	0.08861952679014463	0.03439340000237042	0.03949490966327163	0.03165803873186048	0.02500204042679023	0.019762796576501138	0.019017734189653898	0.029759040253826204	0.025473965466800235	0.040480585255601484	0.04653676995899632	0.08133812219570387	0.05840558546539245
