period	v1ipm	v1abs
2000	0	0
2001		
2002	0.08643840243853106	1
2003	0.05083188411631718	1
2004	0.06231983336175118	9
2005	0.07013892653099839	22
2006	0.07444656848212175	44
2007	0.10398602048583282	84
2008	0.12686064577415299	110
2009	0.13929759127195793	125
2010	0.2043125386018987	159
2011	0.26473199475025866	195
2012	0.3569147244068173	233
2013	0.417546918296093	223
2014	0.58204834333715	244
2015	0.7560521932708197	250
2016	0.984984413805025	283
2017	1.3162292816030614	328
2018	1.102941276353084	272
2019	1.5290864609096713	356
2020	1.964428397077937	516
2021	1.888067061372855	480
