year	c_to_n_by_c	c_to_c_by_c	c_to_i_by_c	c_total	c_to_i_by_i	i_to_n_by_i	i_to_i_by_i	i_total	n_to_n
2000	0.9980525803310614	0.0019474196689386564	0.0	1027.0	NaN	NaN	NaN	0.0	52294.0
2001	1.0	0.0	0.0	93.0	NaN	NaN	NaN	0.0	53095.0
2002	0.9932885906040269	0.006711409395973154	0.0	298.0	NaN	NaN	NaN	0.0	147518.0
2003	1.0	0.0	0.0	406.0	NaN	NaN	NaN	0.0	225623.0
2004	0.9896195237691721	0.010380476230827896	0.0	23602.0	NaN	NaN	NaN	0.0	804468.0
2005	0.9404900901423567	0.05950990985764325	0.0	137893.0	NaN	NaN	NaN	0.0	1259176.0
2006	0.9110738315049236	0.08882959126369519	9.657723138116171e-05	279569.0	0.04192546583850932	0.9580745341614907	0.0	644.0	1715050.0
2007	0.9131591104895803	0.08548926818913959	0.001351621321280076	320356.0	0.08247619047619048	0.9175238095238095	0.0	5250.0	2559088.0
2008	0.8971180403436256	0.09080172955675346	0.012080230099620946	524990.0	0.20993048659384309	0.7844753392916253	0.005594174114531612	30210.0	3539622.0
2009	0.9040999546109082	0.08959632710888886	0.0063037182802029605	689593.0	0.189850198715989	0.8089706075031664	0.0011791937808446522	22897.0	4472316.0
2010	0.87846654720743	0.11061958963228428	0.010913863160285692	990575.0	0.18185641232673933	0.8138877674606378	0.0042558202126227965	59448.0	4790215.0
2011	0.8560770834656337	0.10041462924154866	0.04350828729281768	755856.0	0.17677793904209	0.800145137880987	0.023076923076923078	186030.0	4580631.0
2012	0.8469119669205488	0.05432948771710828	0.09875854536234287	512705.0	0.11506785808433856	0.8364929233062749	0.048439218609386506	440036.0	4204883.0
2013	0.819728794878986	0.05196540068194901	0.12830580443906495	406482.0	0.09045562550947847	0.8368073260835631	0.0727370484069584	576570.0	3547411.0
2014	0.7365560125182284	0.023848535989906768	0.23959545149186479	244124.0	0.05578556734067908	0.80344722016372	0.14076721249560084	1048497.0	2630507.0
2015	0.6975730559683011	0.013616101580440363	0.2888108424512585	111045.0	0.0311931620340381	0.8094057046594731	0.15940113330648878	1028142.0	2134956.0
2016	0.6938371553907058	0.019990013909197902	0.2861728307000963	112156.0	0.033516111145339166	0.8059279741945994	0.16055591466006147	957629.0	1718633.0
2017	0.7378153211994543	0.009405207698336672	0.25277947110220905	68898.0	0.02042887020699832	0.8230315101481609	0.15653961964484076	852519.0	1518469.0
2018	0.6233053706226053	0.011100220222258997	0.36559440915513575	78557.0	0.027557064328282165	0.7758157975284998	0.19662713814321806	1042201.0	1419587.0
2019	0.673505312614769	0.009700745918974709	0.31679394146625633	78963.0	0.02422769676589546	0.7864698749438255	0.1893024282902791	1032496.0	1437455.0
2020	0.6995998506108947	0.007394760710665315	0.29300538867843995	93715.0	0.01991195202973704	0.7901772344293524	0.18991081354091055	1379021.0	1788534.0
2021	0.6539546883818431	0.008108637311249582	0.3379366743069073	86821.0	0.01997572139655756	0.7786575688852608	0.20136670971818166	1468783.0	1669532.0
2022	0.6022312925170068	0.010775510204081632	0.38699319727891157	73500.0	0.02616748144890791	0.7358348405424849	0.2379976780086072	1086998.0	870380.0
