year	c_to_c	c_to_i	i_to_i	total
2000	1.0	0.0	0.0	21.0
2001	1.0	0.0	0.0	6.0
2002	1.0	0.0	0.0	3.0
2003	NaN	NaN	NaN	0.0
2004	1.0	0.0	0.0	3967.0
2005	1.0	0.0	0.0	66142.0
2006	0.9974483697375676	0.002551630262432489	0.0	204967.0
2007	0.985390437214622	0.014605095029174448	4.467756203479489e-06	223826.0
2008	0.8868170730803164	0.11019012102205186	0.0029928058976317045	404637.0
2009	0.9369131279904306	0.06242523923444976	0.0006616327751196173	535040.0
2010	0.9064670351749254	0.09147315764327683	0.002059807181797759	948147.0
2011	0.6555355701686131	0.3056413077439956	0.038823122087391235	828939.0
2012	0.282753393799865	0.5069935101020124	0.21025309609812248	806176.0
2013	0.1807755637642759	0.46326801217414804	0.35595642406157607	873326.0
2014	0.026879537068003678	0.2735168723423988	0.6996035905895975	1423276.0
2015	0.007449102488457959	0.1582255670654931	0.834325330446049	1315192.0
2016	0.009929005913349939	0.1593635302271504	0.8307074638594997	1239399.0
2017	0.0044478546565082915	0.11652656590060499	0.8790255794428867	1051743.0
2018	0.003109438707894633	0.11134976850154803	0.8855407927905573	1418584.0
2019	0.0029938940883120005	0.10621236602825085	0.8907937398834371	1396843.0
2020	0.002525272138590166	0.09846179496778557	0.8990129328936243	1931277.0
2021	0.0022221302354347716	0.08557076313591616	0.9122071066286491	2053435.0
2022	0.0025524128537835343	0.09645675505503443	0.900990832091182	1742273.0
