period	username	total	v1abs	v2abs	v1rel	v2rel	perauthor
2021	-2	2	0	2	0	1	1
2014	3	2	2	0	1	0	1
2015	3	1	0	1	0	1	2
2018	227	2	0	2	0	1	1
2022	227	3	0	3	0	1	2
2016	237	3	0	3	0	1	1
2017	251	4	0	4	0	1	1
2015	411	1	0	1	0	1	1
2021	448	2	0	2	0	1	1
2015	496	1	0	1	0	1	1
2010	526	2	2	0	1	0	2
2018	526	2	1	1	0.5	0.5	3
2020	526	1	0	1	0	1	1
2022	526	5	0	5	0	1	4
2006	770	1	1	0	1	0	1
2007	927	7	7	0	1	0	1
2011	1772	1	1	0	1	0	1
2010	2006	8	8	0	1	0	2
2011	2006	1	1	0	1	0	5
2013	2006	1	0	1	0	1	1
2016	2006	5	5	0	1	0	4
2018	2006	2	2	0	1	0	6
2019	2006	1	0	1	0	1	3
2022	2006	1	0	1	0	1	7
2015	4522	1	0	1	0	1	1
2021	4637	1	0	1	0	1	1
2013	8711	2	2	0	1	0	1
2014	8711	6	1	5	0.1666666667	0.8333333333	2
2015	8711	6	5	1	0.8333333333	0.1666666667	4
2016	8711	2	0	2	0	1	6
2017	8711	7	4	3	0.5714285714	0.4285714286	7
2018	8711	6	5	1	0.8333333333	0.1666666667	8
2019	8711	3	3	0	1	0	5
2021	8711	1	1	0	1	0	3
2015	9797	1	0	1	0	1	1
2014	10010	3	0	3	0	1	1
2015	10010	2	0	2	0	1	2
2016	10010	1	0	1	0	1	3
2020	10070	1	0	1	0	1	1
2016	11217	1	0	1	0	1	1
2019	11433.08	2	0	2	0	1	1
2019	13333	2	0	2	0	1	1
2019	12/07/41	3	0	3	0	1	1
2012	23838	1	0	1	0	1	1
2015	01/01/70	1	0	1	0	1	1
2014	04/20/89	1	0	1	0	1	1
2012	02/02/12	7	0	7	0	1	3
2013	02/02/12	65	0	65	0	1	1
2014	02/02/12	50	1	49	0.02	0.98	2
2014	03/13/13	2	0	2	0	1	1
2020	01/01/20	1	0	1	0	1	1
2018	49450	1	0	1	0	1	1
2018	53280	2	0	2	0	1	2
2021	53280	1	0	1	0	1	1
2019	80231	1	0	1	0	1	1
2005	284366	2	2	0	1	0	1
2008	313131	1	1	0	1	0	1
2016	654654	3	1	2	0.3333333333	0.6666666667	1
2017	741216	1	0	1	0	1	1
2016	990099	1	0	1	0	1	1
2014	1000000	1	0	1	0	1	1
2020	1335991	1	0	1	0	1	1
2016	9948741	1	0	1	0	1	1
2016	10110110	2	0	2	0	1	1
2010	11235813	5	1	4	0.2	0.8	1
2011	11235813	4	0	4	0	1	2
2016	101000111	1	0	1	0	1	3
2018	101000111	1	0	1	0	1	4
2019	101000111	5	0	5	0	1	2
2020	101000111	1	0	1	0	1	1
2022	101000111	2	0	2	0	1	5
2017	299792458	1	1	0	1	0	1
