period	username	total	v1abs	v2abs	v1rel	v2rel	perauthor
2011	1234512345	1	1	0	1	0	1
2018	75190255508	1	0	1	0	1	1
2018	2718281828459040	1	0	1	0	1	1
2010	^Eaz	2	2	0	1	0	1
2012	^Eaz	4	4	0	1	0	2
2004	_-?-_	1	1	0	1	0	1
2011	_Användarnamn	5	5	0	1	0	1
2016	_Baste_	1	0	1	0	1	1
2015	_Dante_	1	0	1	0	1	1
2016	_Dante_	1	0	1	0	1	2
2021	_Fiskarn	1	0	1	0	1	1
2010	_Monk_	1	1	0	1	0	1
2008	_Winston	3	3	0	1	0	1
2022	---xOOx---	1	0	1	0	1	1
2017	--..--	1	0	1	0	1	1
2018	--..--	3	0	3	0	1	2
2021	--Blackbird--	7	1	6	0.1428571429	0.8571428571	1
2022	--cory	1	1	0	1	0	1
2012	--Flashback--	2	2	0	1	0	2
2014	--Flashback--	2	0	2	0	1	1
2015	-=Damian=-	1	0	1	0	1	1
2012	-1453-	1	0	1	0	1	1
2021	-AEI	1	0	1	0	1	1
2008	-Alexandra-	1	1	0	1	0	1
2019	-Andreas-	1	0	1	0	1	2
2021	-Andreas-	1	0	1	0	1	1
2022	-Andreas-	2	0	2	0	1	3
2009	-benito-	1	1	0	1	0	2
2014	-benito-	1	0	1	0	1	1
2006	-bison-	1	1	0	1	0	1
2020	-boyakka-	1	0	1	0	1	1
2021	-boyakka-	7	0	7	0	1	2
2017	-Bukowski-	2	0	2	0	1	1
2013	-DaRude-	4	4	0	1	0	1
2014	-DaRude-	4	3	1	0.75	0.25	3
2018	-DaRude-	2	0	2	0	1	5
2019	-DaRude-	2	1	1	0.5	0.5	4
2020	-DaRude-	26	1	25	0.0384615385	0.9615384615	2
2022	-DaRude-	3	2	1	0.6666666667	0.3333333333	6
2018	-Emmanuel	1	0	1	0	1	2
2019	-Emmanuel	3	0	3	0	1	1
2010	-Felix_	1	1	0	1	0	1
2022	-Felix_	1	0	1	0	1	2
2010	-flame4fame-	3	3	0	1	0	1
2011	-flame4fame-	2	0	2	0	1	2
2018	-GG	1	0	1	0	1	3
2019	-GG	2	0	2	0	1	2
2020	-GG	1	0	1	0	1	1
2022	-GG	1	0	1	0	1	4
2020	-Gustavsson	1	1	0	1	0	1
2012	-HemligIdentitet-	2	0	2	0	1	1
2019	-HUGO-BOSS-	3	2	1	0.6666666667	0.3333333333	1
2011	-Info-	5	5	0	1	0	6
2012	-Info-	1	0	1	0	1	9
2014	-Info-	5	4	1	0.8	0.2	2
2015	-Info-	6	1	5	0.1666666667	0.8333333333	4
2016	-Info-	1	0	1	0	1	5
2017	-Info-	3	0	3	0	1	7
2018	-Info-	6	0	6	0	1	8
2020	-Info-	2	0	2	0	1	1
2021	-Info-	7	0	7	0	1	3
2012	-Mixus	1	0	1	0	1	1
2019	-mollen-	1	0	1	0	1	1
2011	-Mystic	1	1	0	1	0	1
2012	-Mystic	3	3	0	1	0	2
2011	-Napoleon-	1	1	0	1	0	1
2015	-Orpheus-	1	0	1	0	1	1
2022	-Oxalic-	1	0	1	0	1	1
2014	-Peo	1	0	1	0	1	1
2022	-Pippi-	1	0	1	0	1	1
2013	-rascal-	1	1	0	1	0	1
2022	-ReLoad-	1	1	0	1	0	1
2014	-SchmergliN-	1	0	1	0	1	1
2016	-SchmergliN-	1	0	1	0	1	2
2018	-SchmergliN-	2	0	2	0	1	3
2019	-Snacka-	1	0	1	0	1	1
2010	-Sulan-	3	3	0	1	0	1
2016	-TheRiddle-	1	0	1	0	1	1
2017	-TheRiddle-	1	0	1	0	1	2
2010	-TMF-	2	2	0	1	0	1
2016	-Undertagen-	1	1	0	1	0	1
2013	-vaas-	6	0	6	0	1	1
2014	-vaas-	1	0	1	0	1	2
2008	-Wasteland-	1	1	0	1	0	5
2010	-Wasteland-	2	2	0	1	0	3
2011	-Wasteland-	3	2	1	0.6666666667	0.3333333333	4
2012	-Wasteland-	8	2	6	0.25	0.75	6
2013	-Wasteland-	17	1	16	0.0588235294	0.9411764706	1
2014	-Wasteland-	2	0	2	0	1	2
2020	!leech!	3	0	3	0	1	1
2011	.-.-.	1	1	0	1	0	2
2014	.-.-.	2	0	2	0	1	1
2017	.-.-.	1	0	1	0	1	3
2018	.-.-.	1	0	1	0	1	4
2013	...as...	1	1	0	1	0	1
2011	...Cr0ss0va...	30	24	6	0.8	0.2	1
2020	.Adidas.	2	0	2	0	1	1
2013	.buenaventura.	5	0	5	0	1	1
2014	.buenaventura.	2	0	2	0	1	2
2015	.buenaventura.	1	0	1	0	1	3
2019	.buenaventura.	1	0	1	0	1	4
2020	.cute	2	0	2	0	1	1
2020	.Hellraiser.	10	0	10	0	1	1
2021	.Hellraiser.	2	0	2	0	1	2
2022	.Hellraiser.	20	0	20	0	1	3
2014	.Kurgan.	1	0	1	0	1	1
2016	.Kurgan.	1	0	1	0	1	2
2016	.luftballong	6	0	6	0	1	1
2014	.PennyWise.	1	0	1	0	1	1
2019	.RIHTT	1	1	0	1	0	1
2018	.sh	8	0	8	0	1	2
2020	.sh	2	2	0	1	0	1
2018	.SMOrcimus.PriME	1	0	1	0	1	2
2021	.SMOrcimus.PriME	2	0	2	0	1	1
2020	.Snake	1	0	1	0	1	1
2022	.sol.	1	0	1	0	1	1
2009	.ZoeJane.	1	1	0	1	0	1
2019	[complex]	1	0	1	0	1	1
2020	[Henke]	1	0	1	0	1	1
2018	[MystERiouZ]	1	0	1	0	1	1
2008	[Roth]	2	2	0	1	0	1
2009	[Strange Days]	1	1	0	1	0	1
2020	#72	2	0	2	0	1	1
2009	%	1	1	0	1	0	1
2004	<::-\-47-/-::>	1	1	0	1	0	1
2017	0.999...	1	0	1	0	1	1
2018	0.999...	1	0	1	0	1	2
2018	00a	1	0	1	0	1	1
2016	00sju	1	0	1	0	1	1
2022	010Kvantmekanik010	5	0	5	0	1	1
2017	0174Affe	1	0	1	0	1	1
2021	01maj2021	4	0	4	0	1	1
2022	01maj2021	1	0	1	0	1	2
2016	08-4-ever	1	0	1	0	1	1
2018	0gKolhydrater	1	0	1	0	1	1
2019	0ldMan	1	0	1	0	1	2
2020	0ldMan	1	0	1	0	1	1
2022	0ldMan	1	0	1	0	1	3
2022	0ldworldorder	1	0	1	0	1	1
2019	0rganet	1	0	1	0	1	1
2009	0SonOfAGun0	1	1	0	1	0	1
2008	1:aHjälpen	4	4	0	1	0	1
2007	½½½	2	2	0	1	0	1
2017	1001PS	1	0	1	0	1	1
2011	100g	2	2	0	1	0	1
2018	100miltillsthlm	1	0	1	0	1	1
2020	100procentNordisk	4	0	4	0	1	1
2014	100x234	1	0	1	0	1	1
2015	100x234	1	0	1	0	1	2
2021	10Antivaxers	2	0	2	0	1	1
2010	10mg	1	1	0	1	0	1
2014	10sekunder	1	0	1	0	1	1
2014	1235oops4567	1	0	1	0	1	1
2015	12Dagge	1	1	0	1	0	1
2016	12Dagge	3	3	0	1	0	2
2017	12Dagge	1	0	1	0	1	3
2017	12hoppihagen	3	1	2	0.3333333333	0.6666666667	3
2020	12hoppihagen	2	0	2	0	1	1
2021	12hoppihagen	1	0	1	0	1	2
2022	1488hh	2	0	2	0	1	1
2015	15minFame	2	2	0	1	0	3
2018	15minFame	5	5	0	1	0	5
2019	15minFame	7	4	3	0.5714285714	0.4285714286	4
2020	15minFame	10	5	5	0.5	0.5	1
2021	15minFame	1	1	0	1	0	2
2022	15minFame	8	3	5	0.375	0.625	6
2018	167-steg-kvar	1	0	1	0	1	3
2019	167-steg-kvar	1	0	1	0	1	2
2021	167-steg-kvar	1	0	1	0	1	1
2014	17maj	1	1	0	1	0	1
2011	1891PoonStreet	4	2	2	0.5	0.5	2
2016	1891PoonStreet	1	1	0	1	0	1
2020	18Mostroem	2	0	2	0	1	1
2018	18swecun	3	0	3	0	1	1
2016	1984FTW	1	0	1	0	1	1
2014	199011x	1	0	1	0	1	1
2015	19pints	1	1	0	1	0	1
2016	19pints	1	0	1	0	1	2
2014	1anonymous1	1	0	1	0	1	1
2015	1anonymous1	1	0	1	0	1	2
2015	1c9r5	4	1	3	0.25	0.75	2
2020	1c9r5	1	0	1	0	1	1
2013	1love	1	0	1	0	1	1
2012	1samvargen	1	0	1	0	1	1
2010	1SHOT1KILL	3	3	0	1	0	2
2019	1SHOT1KILL	1	0	1	0	1	3
2020	1SHOT1KILL	1	0	1	0	1	1
2021	1ulvius9	1	0	1	0	1	1
2022	1ulvius9	1	0	1	0	1	2
2016	2014rosor	1	0	1	0	1	1
2012	21niry	5	0	5	0	1	1
2019	22juni41	3	0	3	0	1	1
2022	255M	1	0	1	0	1	1
2017	2560p	1	0	1	0	1	1
2013	27Slak	3	0	3	0	1	1
2016	2anRules	1	0	1	0	1	1
2011	2Keynote	6	6	0	1	0	1
2018	2laatu	5	0	5	0	1	1
2021	2PistolerIMinBil	2	0	2	0	1	1
2022	2PistolerIMinBil	1	0	1	0	1	2
2011	3-Negrer-Med-Kedja	1	1	0	1	0	2
2012	3-Negrer-Med-Kedja	2	2	0	1	0	4
2016	3-Negrer-Med-Kedja	3	0	3	0	1	1
2017	3-Negrer-Med-Kedja	1	0	1	0	1	3
2022	3-Negrer-Med-Kedja	2	0	2	0	1	5
2016	30Luger	2	0	2	0	1	1
2018	314Pi	2	0	2	0	1	2
2019	314Pi	1	0	1	0	1	1
2020	31G350125	1	0	1	0	1	1
2022	31G350125	4	0	4	0	1	2
2010	320per	1	1	0	1	0	1
2017	321j	1	1	0	1	0	3
2018	321j	4	0	4	0	1	4
2019	321j	1	0	1	0	1	2
2020	321j	4	0	4	0	1	1
2021	32åringen	1	0	1	0	1	1
2022	369Q	1	0	1	0	1	1
2015	36th	1	0	1	0	1	1
2016	36th	2	0	2	0	1	2
2015	3Vig	10	1	9	0.1	0.9	1
2021	43dz	1	0	1	0	1	1
2022	43dz	12	10	2	0.8333333333	0.1666666667	2
2015	45-70	2	0	2	0	1	1
2020	4598gj45	1	0	1	0	1	1
2021	4598gj45	1	0	1	0	1	2
2020	45Lokar	2	0	2	0	1	1
2021	45Lokar	4	0	4	0	1	2
2022	45Lokar	2	0	2	0	1	3
2016	460430-0014	1	0	1	0	1	3
2020	460430-0014	1	0	1	0	1	1
2021	460430-0014	1	0	1	0	1	2
2019	48k8	2	0	2	0	1	1
2014	4yoonly	1	0	1	0	1	1
2015	4yoonly	2	0	2	0	1	2
2017	4yoonly	13	0	13	0	1	3
2014	500-5000	1	1	0	1	0	1
2019	504umMadLad	8	3	5	0.375	0.625	1
2020	5150-5157	1	1	0	1	0	1
2020	51mon	1	0	1	0	1	1
2018	53....so what	1	0	1	0	1	4
2019	53....so what	1	0	1	0	1	3
2020	53....so what	1	0	1	0	1	1
2021	53....so what	1	0	1	0	1	2
2019	53fisken	1	0	1	0	1	1
2018	56k	1	0	1	0	1	1
2017	56Kmodem	1	1	0	1	0	1
2019	5ever	2	0	2	0	1	3
2020	5ever	2	0	2	0	1	1
2021	5ever	1	0	1	0	1	2
2011	60-talist	2	2	0	1	0	1
2015	64an	1	0	1	0	1	1
2017	666ten	1	0	1	0	1	2
2019	666ten	1	0	1	0	1	1
2015	70-talsfilm	1	0	1	0	1	1
2016	70-talsfilm	3	0	3	0	1	2
2018	70-talsfilm	2	0	2	0	1	3
2013	72mm	3	0	3	0	1	1
2014	72mm	1	0	1	0	1	2
2014	76jonas	1	0	1	0	1	1
2012	8-bit	2	0	2	0	1	1
2018	88g14flashplant	1	1	0	1	0	4
2019	88g14flashplant	9	0	9	0	1	3
2020	88g14flashplant	1	0	1	0	1	1
2021	88g14flashplant	1	0	1	0	1	2
2014	88nu	1	0	1	0	1	1
2022	8978wxu642	1	1	0	1	0	1
2016	90taletskrona	3	0	3	0	1	2
2020	90taletskrona	1	0	1	0	1	1
2022	991ESS	6	0	6	0	1	1
2019	9och0	2	0	2	0	1	1
2012	A-C-L	2	0	2	0	1	1
2008	A-H	1	1	0	1	0	2
2009	A-H	1	1	0	1	0	1
2021	a-mortal	1	0	1	0	1	1
2017	A-party-with-marty	6	0	6	0	1	1
2018	A-party-with-marty	2	0	2	0	1	2
2018	A.Borgs.snaze	1	0	1	0	1	1
2015	A.Ericsson	1	0	1	0	1	3
2018	A.Ericsson	3	0	3	0	1	5
2019	A.Ericsson	7	0	7	0	1	4
2020	A.Ericsson	12	0	12	0	1	1
2021	A.Ericsson	7	0	7	0	1	2
2012	A.Riddle	1	1	0	1	0	1
2017	A1HORNYLAD	2	0	2	0	1	1
2017	A32	2	0	2	0	1	2
2021	A32	1	0	1	0	1	1
2010	AAALS	1	1	0	1	0	1
2022	aaerlig	1	0	1	0	1	1
2006	Aake	21	21	0	1	0	5
2007	Aake	1	1	0	1	0	3
2008	Aake	1	0	1	0	1	4
2009	Aake	2	0	2	0	1	2
2010	Aake	3	2	1	0.6666666667	0.3333333333	1
2018	Abagnale	6	0	6	0	1	1
2013	Abalam	1	0	1	0	1	1
2022	ABanderas68	4	0	4	0	1	1
2020	Abcdefgordon	3	1	2	0.3333333333	0.6666666667	1
2013	AbdullahSvensson	1	1	0	1	0	1
2022	Abetterworld	1	0	1	0	1	1
2021	AbirSaid	1	0	1	0	1	1
2016	ABljuger	1	0	1	0	1	3
2017	ABljuger	2	0	2	0	1	4
2020	ABljuger	1	0	1	0	1	1
2021	ABljuger	1	0	1	0	1	2
2022	ABljuger	3	0	3	0	1	5
2019	abominative	1	0	1	0	1	1
2014	Aboristen	2	1	1	0.5	0.5	1
2015	Abortakuten	1	0	1	0	1	1
2017	AbortRetryIgnore	1	1	0	1	0	4
2019	AbortRetryIgnore	3	3	0	1	0	3
2020	AbortRetryIgnore	7	7	0	1	0	1
2021	AbortRetryIgnore	7	2	5	0.2857142857	0.7142857143	2
2022	AbortRetryIgnore	1	1	0	1	0	5
2022	absinten	3	0	3	0	1	1
2021	absolut koffe	1	0	1	0	1	1
2017	absque	1	0	1	0	1	1
2012	AbstraktKontrast	1	1	0	1	0	1
2013	AbsurdExistens	2	0	2	0	1	1
2022	AbuLuLuAh	4	0	4	0	1	1
2014	AC1D	1	1	0	1	0	1
2014	Accretion	1	0	1	0	1	1
2016	Accubond	1	0	1	0	1	1
2008	Ace Ventura	1	1	0	1	0	1
2017	ace_sec	2	0	2	0	1	1
2011	Ace.Harding	1	1	0	1	0	1
2011	AceKadabra	6	6	0	1	0	2
2013	AceKadabra	2	0	2	0	1	1
2022	Acekorv	1	0	1	0	1	1
2018	acemanner	1	0	1	0	1	2
2020	acemanner	1	0	1	0	1	1
2021	Achel	1	0	1	0	1	1
2007	achmared	1	1	0	1	0	1
2021	ACHOOOOO	1	0	1	0	1	1
2016	Ackeson	3	0	3	0	1	1
2008	Äcklig gubbe	1	1	0	1	0	1
2006	Ad Astra	1	1	0	1	0	1
2007	AdaLovelace	1	1	0	1	0	1
2015	adam.cesar.etta	1	1	0	1	0	1
2010	Adam.W	2	2	0	1	0	1
2013	Adambek	1	0	1	0	1	1
2013	Adamina	1	1	0	1	0	1
2020	Adamivitahuset	2	0	2	0	1	1
2010	AdamSmith	1	1	0	1	0	1
2016	AdamSmith	1	0	1	0	1	2
2022	AdamSmith	3	0	3	0	1	3
2006	Ådärkomdenja	2	2	0	1	0	3
2011	Ådärkomdenja	1	1	0	1	0	2
2014	Ådärkomdenja	1	0	1	0	1	1
2009	Adazanim	2	2	0	1	0	1
2012	addictedtochanel	1	1	0	1	0	1
2016	Adekvate	4	0	4	0	1	1
2019	Adelja	1	0	1	0	1	1
2009	admin	1	1	0	1	0	2
2019	admin	2	0	2	0	1	1
2015	Admiral Krag	1	0	1	0	1	1
2014	AdmiralCanaris	1	0	1	0	1	1
2015	AdmiralCanaris	6	0	6	0	1	2
2021	AdMortem	4	0	4	0	1	1
2022	AdMortem	2	0	2	0	1	2
2010	Adolf bittler	5	5	0	1	0	1
2016	Adolf.Rockefeller	1	0	1	0	1	1
2014	adolf512	4	2	2	0.5	0.5	2
2018	adolf512	4	0	4	0	1	5
2019	adolf512	1	0	1	0	1	4
2020	adolf512	1	0	1	0	1	1
2021	adolf512	2	0	2	0	1	3
2022	adolf512	1	1	0	1	0	6
2009	adolfhilter	2	2	0	1	0	6
2010	adolfhilter	1	1	0	1	0	3
2012	adolfhilter	1	0	1	0	1	8
2014	adolfhilter	1	0	1	0	1	2
2015	adolfhilter	2	2	0	1	0	4
2016	adolfhilter	1	0	1	0	1	5
2017	adolfhilter	1	0	1	0	1	7
2020	adolfhilter	1	0	1	0	1	1
2017	adolfine	3	0	3	0	1	1
2015	adolfitler	1	0	1	0	1	2
2021	adolfitler	1	0	1	0	1	1
2010	Adoniram	1	1	0	1	0	1
2014	Adonis.	1	1	0	1	0	1
2021	Adonis.	3	0	3	0	1	2
2022	Adonis.	6	0	6	0	1	3
2009	adoptivneger	2	2	0	1	0	1
2011	Adored	2	2	0	1	0	1
2016	adressandring	1	0	1	0	1	1
2015	AdrianCosic	1	0	1	0	1	1
2022	Adriangolsson	1	0	1	0	1	1
2015	Adveloq	1	0	1	0	1	1
2022	Adventurer6	1	0	1	0	1	1
2016	Adversarium	1	0	1	0	1	1
2017	Adversarium	1	1	0	1	0	2
2011	Adversarius	1	1	0	1	0	1
2012	Adversarius	3	3	0	1	0	2
2013	Aegishjalmr	18	4	14	0.2222222222	0.7777777778	1
2014	Aegishjalmr	30	2	28	0.0666666667	0.9333333333	2
2015	Aegishjalmr	10	0	10	0	1	3
2016	Aegishjalmr	5	0	5	0	1	5
2017	Aegishjalmr	1	0	1	0	1	6
2018	Aegishjalmr	31	0	31	0	1	7
2019	Aegishjalmr	1	0	1	0	1	4
2022	Aegishjalmr	2	0	2	0	1	8
2022	aegor	1	0	1	0	1	1
2022	Aeona	1	0	1	0	1	1
2010	Aerandhir	1	1	0	1	0	1
2019	AesopRock	1	1	0	1	0	1
2009	af-Sintistolpe	1	1	0	1	0	2
2019	af-Sintistolpe	1	1	0	1	0	1
2016	affekaffe	4	0	4	0	1	1
2021	Africagonzo	2	0	2	0	1	1
2022	Africagonzo	2	0	2	0	1	2
2018	Africanized	1	0	1	0	1	2
2020	Africanized	1	0	1	0	1	1
2020	Afrikanos	2	0	2	0	1	1
2021	Afrikanos	4	0	4	0	1	2
2022	Afrikanos	5	0	5	0	1	3
2022	AfroCondomFactory	5	0	5	0	1	1
2016	Afrosvensk	1	0	1	0	1	1
2012	AfterEightz	1	0	1	0	1	1
2021	AfterLight	2	0	2	0	1	1
2000	Aftonbladet (old)	1	1	0	1	0	1
2012	Aftongladet88	1	0	1	0	1	1
2017	aFvRenOndskA	1	0	1	0	1	1
2018	aFvRenOndskA	1	0	1	0	1	2
2018	Against-modernity	4	3	1	0.75	0.25	2
2020	Against-modernity	1	0	1	0	1	1
2017	Agamantum	1	0	1	0	1	1
2012	Agaricales	1	0	1	0	1	1
2016	Agaton1	1	0	1	0	1	1
2018	Agens56	1	0	1	0	1	1
2020	AgenteProvocatrice	1	1	0	1	0	1
2013	AgentJoyBoy	12	8	4	0.6666666667	0.3333333333	1
2014	AgentJoyBoy	9	1	8	0.1111111111	0.8888888889	3
2015	AgentJoyBoy	7	1	6	0.1428571429	0.8571428571	4
2019	AgentJoyBoy	1	0	1	0	1	5
2020	AgentJoyBoy	1	0	1	0	1	2
2022	AgentJoyBoy	2	0	2	0	1	6
2009	agentsarcasmo	1	1	0	1	0	1
2017	ageton	1	0	1	0	1	1
2018	Aggkaka	1	0	1	0	1	1
2014	AggressivAlv	2	0	2	0	1	1
2008	Aggressive	2	2	0	1	0	1
2017	AgileSnark	1	0	1	0	1	1
2005	agitator	1	1	0	1	0	1
2019	Agnetax	1	0	1	0	1	1
2019	agoggoge	2	1	1	0.5	0.5	1
2013	Agriagrappo	1	0	1	0	1	1
2017	AguaDeTuMadre	1	0	1	0	1	1
2015	Agurka	1	0	1	0	1	1
2008	Åh fy fan..	4	4	0	1	0	2
2013	Åh fy fan..	1	0	1	0	1	1
2013	Ahrkantos	1	1	0	1	0	1
2011	Ahvenmaa	1	1	0	1	0	1
2016	aico	1	0	1	0	1	1
2013	Aigis	2	0	2	0	1	1
2014	Aigis	3	0	3	0	1	2
2012	AihtAdehgar	2	2	0	1	0	1
2022	Aiissano	1	0	1	0	1	1
2012	Aimbert	1	0	1	0	1	1
2012	Aina-Safir	2	2	0	1	0	1
2020	aina08	2	0	2	0	1	1
2021	aina08	1	0	1	0	1	2
2007	AirMail	1	1	0	1	0	1
2020	AirOfficer	3	0	3	0	1	1
2021	AirOfficer	2	0	2	0	1	2
2018	Airporn	1	0	1	0	1	1
2019	aisha51	1	0	1	0	1	1
2011	Aisopos	1	1	0	1	0	1
2012	Aizel	3	1	2	0.3333333333	0.6666666667	1
2006	Ajajaj	1	1	0	1	0	2
2007	Ajajaj	4	4	0	1	0	1
2009	AjaxWarrior	1	1	0	1	0	1
2010	Ajaxx	1	1	0	1	0	1
2022	AjdeAna	3	0	3	0	1	1
2020	Ajemback	1	0	1	0	1	1
2015	Ajlavjo	1	0	1	0	1	1
2011	Ajskrim	1	1	0	1	0	1
2011	Ak-341	1	0	1	0	1	2
2013	Ak-341	3	0	3	0	1	1
2012	Akademica	1	0	1	0	1	1
2022	akademikerfyllo	9	0	9	0	1	1
2014	Ake.Jimmiesson666	2	0	2	0	1	1
2015	akehodell	3	0	3	0	1	1
2016	akehodell	6	0	6	0	1	2
2011	Akinator	10	10	0	1	0	2
2012	Akinator	22	0	22	0	1	3
2013	Akinator	1	0	1	0	1	1
2019	AkiraKurosawaFan	1	0	1	0	1	1
2012	AkkAkk	1	1	0	1	0	1
2015	aktamig	1	0	1	0	1	1
2018	aktamig	2	0	2	0	1	3
2019	aktamig	2	0	2	0	1	2
2019	aktapirenelskling	1	0	1	0	1	1
2020	Aktiebubblan	1	0	1	0	1	1
2020	Aktiespekulanten	3	0	3	0	1	1
2012	Akvarius	3	2	1	0.6666666667	0.3333333333	2
2014	Akvarius	1	0	1	0	1	1
2020	Akvileja	1	0	1	0	1	1
2021	Al-AliVonSchmidt	2	0	2	0	1	1
2021	AlabamaHotcakes	2	0	2	0	1	1
2016	alamos	2	0	2	0	1	1
2017	AlanBStard	1	0	1	0	1	2
2021	AlanBStard	2	0	2	0	1	1
2022	AlanBStard	1	0	1	0	1	3
2008	AlbelNox	2	2	0	1	0	1
2019	AlbusPercival	2	0	2	0	1	2
2020	AlbusPercival	1	0	1	0	1	1
2004	alcatraz	1	1	0	1	0	5
2006	alcatraz	2	2	0	1	0	4
2007	alcatraz	1	1	0	1	0	2
2008	alcatraz	2	2	0	1	0	3
2009	alcatraz	1	1	0	1	0	1
2008	aldenelektro	2	2	0	1	0	1
2014	Aldrigfri	1	0	1	0	1	1
2017	aldrigrunka	1	0	1	0	1	1
2014	Aleh09	1	0	1	0	1	1
2016	alejandro321	1	0	1	0	1	1
2013	Aleksandrah22	1	0	1	0	1	1
2011	Aleksanterinkatu	1	0	1	0	1	1
2020	Alertio	1	0	1	0	1	1
2012	Alessandro	3	3	0	1	0	1
2009	Alexander857	1	0	1	0	1	2
2010	Alexander857	1	1	0	1	0	1
2011	Alexander857	1	0	1	0	1	3
2014	alexanderlukaz	1	1	0	1	0	1
2015	alexmedx	1	0	1	0	1	1
2010	AlexOnTop	4	0	4	0	1	1
2014	Alexspektrum	1	1	0	1	0	1
2010	Alfa-Omega	1	1	0	1	0	1
2021	alfa.beta.omega	2	0	2	0	1	1
2020	AlfaKennyBody	1	0	1	0	1	1
2021	AlfaKennyBody	1	0	1	0	1	2
2010	alfamats	1	1	0	1	0	1
2017	AlfaQhard	1	0	1	0	1	1
2018	AlfaRomeo159	1	0	1	0	1	1
2016	Alfheim	1	1	0	1	0	2
2017	Alfheim	1	0	1	0	1	3
2019	Alfheim	3	2	1	0.6666666667	0.3333333333	1
2021	AlfredosO	2	0	2	0	1	1
2022	AlfredosO	1	0	1	0	1	2
2017	algen84	11	0	11	0	1	2
2018	algen84	6	3	3	0.5	0.5	3
2019	algen84	6	2	4	0.3333333333	0.6666666667	1
2020	AlgotR	1	0	1	0	1	1
2021	AlgotR	3	0	3	0	1	2
2011	alhfr	1	1	0	1	0	1
2012	AliasAndersson	2	2	0	1	0	1
2015	Alibabe	1	0	1	0	1	1
2022	alicia66	1	0	1	0	1	1
2014	alienjenni	1	0	1	0	1	1
2013	Alikabadidi	1	0	1	0	1	1
2022	AlikovEriktigBror	1	0	1	0	1	1
2016	alisvensson	1	0	1	0	1	1
2017	AlkoholistFascist	1	0	1	0	1	1
2017	Alkyonios	1	0	1	0	1	1
2020	All-the-way-77	1	0	1	0	1	1
2013	Allaballawalla	1	1	0	1	0	1
2014	Allaballawalla	3	0	3	0	1	2
2017	Allaballawalla	1	0	1	0	1	3
2016	Allah.till.Sverje	1	0	1	0	1	1
2019	AllahAkbarBoom	1	0	1	0	1	1
2018	Allahu-Akbarsson	1	0	1	0	1	1
2017	allanballanjugge	8	0	8	0	1	1
2022	allanballanjugge	17	0	17	0	1	2
2016	allasKelgris	1	0	1	0	1	1
