period	v1ipm	v1abs
2003	0	0
2004	0.02073451780510366	2
2005	0.051639717898934276	12
2006	0.061815806269689466	29
2007	0.08976966304541201	57
2008	0.06423209646290175	40
2009	0.052253912684487286	31
2010	0.07764255087418961	32
2011	0.04990262431608003	18
2012	0.07230447546833615	21
2013	0.07219863658554435	15
2014	0.13716769600554457	19
2015	0.2477950771655834	22
2016	0.34389015673200307	22
2017	0.6498656045436524	40
2018	0.6545862479744315	37
2019	1.2240072497949406	56
2020	1.391190516321411	58
2021	0.7125790173343692	29
