"word"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"
"Σ"	"13654"	"23"	"219"	"284"	"452"	"515"	"607"	"725"	"621"	"573"	"740"	"986"	"1091"	"1030"	"940"	"960"	"882"	"1057"	"852"	"736"	"361"
"fortsätter att öka"	"1845"	"6"	"37"	"47"	"67"	"87"	"117"	"93"	"75"	"73"	"98"	"130"	"145"	"136"	"140"	"110"	"72"	"174"	"138"	"77"	"23"
"fortsätter att vara"	"849"	"2"	"7"	"11"	"26"	"37"	"36"	"55"	"36"	"34"	"44"	"55"	"76"	"80"	"62"	"63"	"52"	"63"	"51"	"37"	"22"
"fortsätter att minska"	"684"	"2"	"17"	"25"	"53"	"33"	"40"	"29"	"40"	"25"	"41"	"63"	"59"	"35"	"42"	"38"	"40"	"40"	"38"	"14"	"10"
"fortsätter att stiga"	"514"	"1"	"16"	"14"	"40"	"18"	"27"	"30"	"15"	"12"	"35"	"37"	"47"	"34"	"25"	"28"	"16"	"43"	"23"	"34"	"19"
"fortsätter att växa"	"458"	"0"	"10"	"10"	"11"	"18"	"12"	"25"	"29"	"28"	"31"	"42"	"40"	"41"	"33"	"43"	"22"	"18"	"16"	"18"	"11"
"fortsätter att gå"	"258"	"0"	"4"	"3"	"9"	"13"	"17"	"13"	"13"	"10"	"17"	"13"	"19"	"19"	"17"	"17"	"22"	"25"	"11"	"12"	"4"
"fortsätter att sjunka"	"226"	"0"	"7"	"8"	"9"	"9"	"13"	"12"	"16"	"6"	"7"	"19"	"15"	"19"	"11"	"22"	"18"	"3"	"17"	"11"	"4"
"fortsätter att imponera"	"210"	"0"	"5"	"5"	"12"	"3"	"5"	"9"	"10"	"11"	"11"	"8"	"11"	"3"	"1"	"9"	"26"	"17"	"23"	"29"	"12"
"fortsätter att göra"	"199"	"0"	"2"	"4"	"5"	"7"	"11"	"7"	"12"	"5"	"9"	"11"	"9"	"19"	"11"	"17"	"22"	"11"	"15"	"14"	"8"
"fortsätter att ha"	"181"	"1"	"3"	"1"	"5"	"7"	"7"	"13"	"9"	"8"	"12"	"7"	"17"	"15"	"13"	"9"	"14"	"16"	"9"	"10"	"5"
"fortsätter att jobba"	"176"	"0"	"5"	"3"	"5"	"3"	"1"	"3"	"5"	"7"	"7"	"12"	"15"	"21"	"19"	"12"	"7"	"15"	"25"	"7"	"4"
"fortsätter att arbeta"	"173"	"0"	"0"	"3"	"2"	"4"	"6"	"8"	"6"	"9"	"3"	"17"	"13"	"16"	"13"	"11"	"9"	"23"	"11"	"15"	"4"
"fortsätter att hålla"	"161"	"0"	"0"	"0"	"1"	"4"	"2"	"10"	"5"	"11"	"11"	"10"	"12"	"10"	"15"	"12"	"8"	"27"	"13"	"8"	"2"
"fortsätter att tappa"	"151"	"1"	"2"	"2"	"8"	"10"	"5"	"13"	"9"	"7"	"7"	"15"	"16"	"8"	"10"	"7"	"10"	"9"	"4"	"4"	"4"
"fortsätter att ställa"	"140"	"0"	"0"	"2"	"5"	"4"	"4"	"17"	"7"	"7"	"3"	"16"	"7"	"10"	"4"	"21"	"8"	"7"	"12"	"3"	"3"
"fortsätter att falla"	"137"	"1"	"2"	"5"	"4"	"16"	"10"	"6"	"8"	"12"	"0"	"9"	"15"	"9"	"5"	"11"	"5"	"3"	"4"	"11"	"1"
"fortsätter att visa"	"129"	"0"	"3"	"5"	"5"	"6"	"6"	"7"	"5"	"3"	"6"	"7"	"4"	"2"	"3"	"9"	"17"	"7"	"17"	"16"	"1"
"fortsätter att komma"	"123"	"0"	"1"	"0"	"1"	"1"	"5"	"5"	"6"	"1"	"9"	"7"	"20"	"10"	"10"	"10"	"4"	"15"	"8"	"5"	"5"
"fortsätter att spela"	"121"	"0"	"11"	"4"	"4"	"9"	"6"	"3"	"5"	"8"	"6"	"6"	"9"	"6"	"3"	"12"	"5"	"8"	"7"	"6"	"3"
"fortsätter att strömma"	"113"	"0"	"0"	"1"	"2"	"3"	"10"	"12"	"9"	"8"	"9"	"8"	"12"	"13"	"11"	"2"	"1"	"4"	"2"	"3"	"3"
"fortsätter att vinna"	"111"	"0"	"3"	"3"	"1"	"3"	"6"	"5"	"0"	"7"	"5"	"9"	"7"	"4"	"2"	"7"	"15"	"12"	"7"	"10"	"5"
