"word"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"
"Σ"	"226572"	"340"	"2838"	"3603"	"5104"	"7518"	"9120"	"9309"	"8644"	"8727"	"12991"	"15562"	"19131"	"22162"	"20556"	"17827"	"16078"	"16453"	"12978"	"11924"	"5707"
"kommer att bli"	"13958"	"25"	"147"	"225"	"314"	"453"	"556"	"557"	"548"	"545"	"802"	"985"	"1211"	"1413"	"1198"	"1138"	"930"	"984"	"783"	"764"	"380"
"kommer att vara"	"11725"	"11"	"111"	"131"	"208"	"317"	"376"	"423"	"359"	"375"	"600"	"773"	"958"	"1171"	"1140"	"1049"	"944"	"1013"	"766"	"681"	"319"
"kommer att få"	"11103"	"12"	"159"	"189"	"266"	"422"	"530"	"497"	"465"	"432"	"641"	"776"	"880"	"1103"	"942"	"855"	"759"	"785"	"637"	"517"	"236"
"kommer att ta"	"6045"	"9"	"71"	"97"	"125"	"183"	"219"	"274"	"233"	"249"	"364"	"434"	"535"	"605"	"570"	"472"	"390"	"355"	"388"	"298"	"174"
"kommer att fortsätta"	"5888"	"9"	"67"	"84"	"90"	"158"	"204"	"228"	"192"	"247"	"351"	"388"	"512"	"609"	"610"	"450"	"448"	"418"	"338"	"339"	"146"
"kommer att ha"	"5367"	"7"	"58"	"79"	"107"	"140"	"194"	"202"	"158"	"172"	"264"	"374"	"461"	"551"	"500"	"436"	"387"	"512"	"351"	"295"	"119"
"kommer att gå"	"4746"	"3"	"51"	"47"	"84"	"134"	"164"	"166"	"185"	"174"	"287"	"328"	"417"	"498"	"507"	"349"	"366"	"332"	"287"	"253"	"114"
"kommer att kunna"	"4488"	"2"	"48"	"63"	"82"	"116"	"154"	"154"	"156"	"159"	"272"	"312"	"401"	"403"	"393"	"370"	"312"	"391"	"344"	"238"	"118"
"kommer att göra"	"4325"	"8"	"42"	"57"	"77"	"99"	"133"	"174"	"145"	"144"	"258"	"305"	"383"	"463"	"381"	"366"	"355"	"282"	"268"	"270"	"115"
