word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
Σ	174148		253	2118	2642	3688	5463	6721	7085	6656	6634	9937	12108	14742	17220	15866	13797	12527	12558	10158	9526	4449
kommer att bli	13958	0.0801502170567563	25	147	225	314	453	556	557	548	545	802	985	1211	1413	1198	1138	930	984	783	764	380
kommer att vara	11725	0.147478007212256	11	111	131	208	317	376	423	359	375	600	773	958	1171	1140	1049	944	1013	766	681	319
kommer att få	11103	0.211234122700232	12	159	189	266	422	530	497	465	432	641	776	880	1103	942	855	759	785	637	517	236
kommer att ta	6045	0.245945976985093	9	71	97	125	183	219	274	233	249	364	434	535	605	570	472	390	355	388	298	174
kommer att fortsätta	5888	0.279756299239727	9	67	84	90	158	204	228	192	247	351	388	512	609	610	450	448	418	338	339	146
kommer att ha	5367	0.310574913292142	7	58	79	107	140	194	202	158	172	264	374	461	551	500	436	387	512	351	295	119
kommer att gå	4746	0.337827594919264	3	51	47	84	134	164	166	185	174	287	328	417	498	507	349	366	332	287	253	114
kommer att kunna	4488	0.363598778050853	2	48	63	82	116	154	154	156	159	272	312	401	403	393	370	312	391	344	238	118
kommer att göra	4325	0.388433975698831	8	42	57	77	99	133	174	145	144	258	305	383	463	381	366	355	282	268	270	115
kommer att ske	2845	0.404770654845304	1	33	40	55	78	130	89	114	107	177	167	246	302	249	217	215	220	173	157	75
kommer att se	2566	0.419505248409399	0	26	18	40	47	75	93	78	97	130	189	207	262	234	191	173	270	190	169	77
kommer att öka	2285	0.432626271906654	1	30	42	74	92	124	107	88	88	119	167	195	203	172	134	135	167	146	141	60
kommer att behöva	2044	0.444363415026299	1	19	18	25	38	60	53	47	49	84	113	175	183	190	174	183	202	169	184	77
kommer att påverka	2025	0.455991455543561	1	10	15	32	55	62	70	53	64	102	150	192	206	163	184	146	207	126	126	61
kommer att hålla	1996	0.46745297103613	4	12	23	30	53	44	68	53	79	130	137	173	229	235	172	148	154	112	96	44
kommer att kosta	1975	0.478793899441854	1	39	45	63	96	108	121	99	114	130	126	173	168	165	118	107	101	83	72	46
kommer att ge	1774	0.488980637159198	6	35	32	43	58	92	76	84	81	98	115	148	154	161	129	123	109	86	104	40
kommer att pågå	1744	0.498995107609619	1	7	13	22	47	50	75	46	68	79	85	159	206	187	197	119	160	104	79	40
kommer att leda	1719	0.508866022004272	3	33	30	63	76	73	89	92	69	94	134	154	173	156	99	104	86	70	85	36
kommer att hända	1538	0.51769759055516	0	6	18	27	36	58	41	61	65	112	97	141	222	130	107	112	106	76	75	48
kommer att ligga	1369	0.525558720169052	0	15	26	38	46	62	91	64	67	76	92	111	127	128	103	90	77	62	68	26
kommer att komma	1350	0.533310747180559	1	8	10	11	25	22	37	35	33	72	83	145	111	105	125	119	143	118	102	45
kommer att spela	1340		2	32	34	51	39	59	58	64	66	64	97	76	81	73	95	115	103	96	92	43
kommer att överklaga	1272		1	16	15	31	48	54	42	62	66	96	104	77	88	109	119	106	67	61	74	36
kommer att innebära	1239		1	18	23	49	60	50	52	40	57	70	108	91	137	97	90	91	67	58	49	31
