word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
börjar stiga	47		0	1	0	1	0	4	2	1	5	2	2	5	6	3	4	1	7	1	2	0
börjar tala	47		0	0	0	1	0	2	4	0	5	4	5	4	7	3	10	1	0	0	1	0
börjar söka	45		0	0	0	0	1	1	1	1	2	3	2	6	3	5	3	5	3	2	3	4
börjar leta	45		0	0	0	0	0	3	0	0	3	4	3	3	6	7	0	5	2	3	5	1
börjar betala	44		0	0	2	0	3	1	3	3	2	2	2	3	6	5	6	3	0	1	1	1
börjar vända	44		0	0	1	1	3	4	4	0	0	1	2	1	7	4	1	2	5	2	4	2
börjar avta	44		0	0	1	0	2	1	4	0	0	2	3	2	2	2	2	1	4	7	10	1
börjar fungera	41		1	0	0	2	1	0	6	5	3	3	2	5	3	4	1	1	1	2	1	0
börjar diskutera	41		0	1	0	0	0	5	4	1	2	1	3	5	5	3	4	5	1	0	1	0
börjar visa	41		0	0	0	1	0	2	3	1	5	2	4	4	7	3	2	1	1	3	2	0
börjar smälta	40		0	0	0	0	0	2	7	1	3	2	1	2	2	3	6	0	4	3	2	2
börjar lägga	39		0	1	0	1	0	0	2	1	1	2	2	4	4	3	4	6	3	0	3	2
börjar planera	39		0	0	0	0	0	1	2	1	2	2	0	4	8	4	2	0	8	4	0	1
börjar försvinna	39		0	0	0	0	0	0	1	2	1	4	2	3	5	1	4	7	2	2	4	1
börjar sända	38		0	1	3	5	1	1	1	2	2	7	3	2	0	0	2	0	2	2	2	2
börjar släppa	37		0	0	0	0	0	5	1	1	2	1	1	2	3	2	1	3	1	9	4	1
börjar dyka	36		0	1	0	0	0	0	0	1	3	3	6	3	5	4	3	1	0	2	4	0
börjar blomma	36		0	1	0	0	3	0	0	2	4	1	2	1	5	5	4	3	2	2	0	1
börjar vaccinera	35		0	0	1	0	1	3	0	0	1	0	0	0	2	0	0	0	9	16	2	0
börjar äta	35		0	0	0	0	0	2	3	2	2	5	2	4	2	3	2	6	2	0	0	0
