word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
Σ	20845		38	191	235	262	418	624	764	710	784	1129	1462	1821	2164	2091	1705	1671	1487	1337	1238	714
försöker få	1748	0.0838570400575678	3	14	19	30	42	59	69	63	72	92	137	149	170	180	156	156	115	88	96	38
försöker ta	1268	0.144686975293835	1	11	18	19	23	33	39	28	39	66	94	144	158	121	90	99	84	81	81	39
försöker göra	929	0.18925401775006	2	4	10	10	23	22	22	31	28	40	68	106	91	92	89	80	64	63	50	34
försöker hitta	888	0.231854161669465	2	6	9	11	10	29	40	21	36	35	42	78	99	88	91	77	76	61	45	32
försöker hålla	518	0.256704245622451	0	1	6	4	14	8	14	14	24	18	29	36	55	47	38	35	68	42	46	19
försöker vara	444	0.278004317582154	1	2	1	6	6	8	13	10	11	19	26	27	55	53	45	49	42	27	23	20
försöker komma	371	0.295802350683617	1	2	5	5	7	9	13	12	12	19	25	29	47	29	28	29	37	25	29	8
försöker hjälpa	362	0.313168625569681	0	0	3	1	2	5	15	9	14	19	27	54	32	31	29	23	31	19	32	16
försöker se	284	0.326792995922284	0	1	4	1	6	8	7	10	11	11	21	25	29	29	24	23	28	23	21	2
försöker skapa	278	0.34012952746462	0	3	4	2	6	6	5	7	15	10	19	29	22	22	17	24	25	27	17	18
försöker lösa	272	0.35317822019669	0	0	1	3	4	5	5	16	8	15	20	24	33	28	23	28	20	22	12	5
försöker stoppa	258	0.365555289038139	0	3	4	4	6	12	12	12	10	28	23	21	21	20	16	17	21	10	9	9
försöker nå	208	0.375533701127369	0	2	1	3	1	7	6	6	6	12	13	18	33	19	20	11	13	17	16	4
försöker påverka	195	0.384888462461022	1	3	3	2	3	8	6	2	3	12	25	7	20	16	17	22	12	18	10	5
försöker rädda	194	0.394195250659631	0	2	4	3	3	4	16	8	9	9	11	19	9	19	14	13	17	12	16	6
försöker lura	192	0.403406092588151	1	6	3	2	7	8	4	13	9	13	17	18	19	13	16	13	12	11	3	4
försöker ha	173	0.411705444950828	0	0	1	3	1	5	3	3	4	6	10	12	18	24	23	22	21	5	5	7
försöker undvika	167	0.419716958503238	0	1	4	0	2	7	2	4	7	17	11	9	17	8	7	13	15	20	10	13
försöker locka	165	0.42763252578556	0	1	3	2	5	9	5	11	5	16	21	10	11	14	7	13	6	9	5	12
försöker jobba	160	0.43530822739266	0	0	0	2	1	1	4	3	4	10	13	20	23	21	7	15	9	11	12	4
försöker sätta	150	0.442504197649316	1	2	6	1	1	5	7	7	11	5	5	7	14	14	15	17	9	11	8	4
försöker gå	145	0.449460302230751	0	0	0	0	2	4	5	7	6	6	5	12	25	18	17	12	10	8	5	3
försöker sälja	135	0.455936675461741	0	0	2	4	7	11	8	8	8	10	8	15	5	10	9	8	6	7	3	6
försöker bli	127	0.462029263612377	1	1	2	2	1	6	5	6	7	3	11	10	10	12	9	7	13	7	3	11
försöker ge	126	0.468073878627968	0	2	0	2	1	5	4	6	4	6	10	14	15	12	8	9	8	7	9	4
försöker tänka	119	0.473782681698249	0	0	1	0	0	1	0	0	7	6	6	6	15	15	11	14	12	10	9	6
försöker bygga	114	0.479251619093308	0	2	0	2	1	2	0	7	1	4	11	9	7	11	12	9	6	5	17	8
försöker fly	114	0.484720556488367	0	1	0	0	0	8	1	2	2	4	7	11	15	18	11	10	2	9	12	1
försöker förklara	113	0.490141520748381	0	0	1	0	4	2	4	3	8	10	10	13	15	18	6	9	4	3	3	0
försöker förstå	110	0.495418565603262	0	0	2	1	3	1	1	2	4	6	8	10	11	11	14	7	10	8	7	4
försöker lära	109	0.500647637323099	0	0	1	3	2	0	0	4	0	6	4	19	11	16	9	9	4	6	7	8
försöker lägga	106		0	0	1	0	5	3	10	2	2	11	2	13	6	12	3	10	7	9	7	3
försöker slå	106		0	0	0	2	4	3	3	8	3	5	4	10	10	8	5	8	8	14	8	3
försöker använda	101		0	2	1	1	3	6	1	4	3	9	8	6	9	9	3	10	7	8	7	4
försöker skydda	95		0	0	1	1	1	3	1	2	2	8	5	11	11	9	5	8	5	6	13	3
försöker dra	94		0	2	0	1	0	5	5	2	4	6	7	9	10	9	10	2	3	8	7	4
försöker driva	93		0	1	1	2	6	4	4	0	4	3	13	11	7	9	9	5	3	8	1	2
försöker samla	93		3	0	0	1	1	1	1	1	4	2	11	3	10	18	10	6	9	4	4	4
försöker reda	93		0	0	0	2	3	0	4	2	1	4	6	8	10	15	3	14	5	11	2	3
försöker släcka	90		0	0	0	0	1	1	3	1	5	3	3	7	5	20	13	10	7	6	4	1
försöker hindra	87		1	1	2	2	1	6	8	0	5	3	5	10	9	6	5	2	10	4	6	1
försöker visa	84		0	0	2	2	2	2	1	3	0	7	8	10	11	8	4	7	7	6	4	0
försöker minska	81		0	4	0	1	4	1	3	2	5	4	8	4	7	6	7	5	9	2	7	2
försöker dölja	80		0	2	2	3	1	5	11	3	3	4	2	6	4	12	5	4	3	3	5	2
försöker prata	77		0	0	1	0	1	1	1	3	1	3	8	5	16	7	6	6	6	2	8	2
försöker leva	77		0	0	0	2	0	0	3	2	2	3	4	8	8	10	8	8	5	4	7	3
försöker utnyttja	76		0	1	4	0	0	3	4	5	4	5	5	5	8	3	4	3	11	1	7	3
försöker utreda	74		0	2	0	1	2	1	5	2	1	5	3	4	7	10	4	10	5	3	6	3
försöker fånga	74		0	1	0	1	0	4	3	1	1	3	5	5	7	11	7	5	6	2	8	4
försöker vinna	73		0	0	0	0	1	1	3	7	6	2	9	4	4	5	7	9	3	2	7	3
försöker bryta	71		0	0	1	0	4	5	4	3	3	5	9	4	4	8	3	3	6	3	3	3
försöker köra	67		0	1	0	1	0	0	1	2	2	3	1	6	11	13	9	7	4	1	4	1
försöker ringa	64		0	1	1	1	1	2	4	0	4	2	6	6	8	4	8	2	5	1	4	4
försöker begränsa	64		0	0	1	2	1	1	0	1	4	5	1	3	2	7	9	6	4	8	3	6
försöker följa	63		0	2	0	0	2	0	2	2	3	7	5	8	6	6	2	5	4	4	1	4
försöker lugna	63		0	0	1	1	3	1	1	3	3	6	4	4	7	9	5	4	4	4	2	1
försöker kartlägga	62		0	0	7	0	3	1	2	2	2	4	1	4	5	7	3	8	4	3	2	4
försöker rekrytera	62		0	0	1	0	4	2	3	1	1	2	2	4	12	5	5	8	3	5	4	0
försöker säga	62		0	0	0	1	0	4	3	3	2	2	7	4	3	8	6	8	0	4	3	4
försöker ändra	61		0	3	1	2	1	2	5	1	1	3	9	10	5	4	2	0	1	6	4	1
försöker utveckla	59		1	1	2	2	2	2	2	0	8	2	6	7	6	3	2	4	5	4	0	0
försöker köpa	59		0	1	1	1	1	3	4	3	2	1	6	5	4	7	3	4	4	3	6	0
försöker sprida	59		0	0	1	3	1	2	5	1	1	1	5	1	6	7	6	3	5	4	3	4
försöker lyfta	57		0	0	0	1	2	3	1	0	1	3	3	4	6	6	11	3	6	3	2	2
försöker etablera	57		0	0	0	1	1	7	4	2	1	1	2	9	6	5	5	5	1	5	2	0
försöker spåra	56		0	2	0	4	1	1	4	1	3	5	2	9	5	7	9	0	0	1	0	2
försöker informera	56		0	0	0	0	1	0	1	0	2	7	5	6	5	5	6	5	4	2	4	3
försöker styra	55		0	1	0	0	1	1	1	3	2	4	5	5	8	7	6	3	2	2	1	3
försöker vända	55		0	0	0	0	1	2	1	2	1	2	7	6	6	5	3	7	3	6	1	2
försöker tysta	54		0	0	1	2	3	1	4	3	1	4	3	4	4	5	3	9	1	3	1	2
försöker skaffa	53		0	4	2	0	2	6	4	7	5	4	1	5	4	4	0	1	1	2	1	0
försöker spela	52		0	0	1	1	2	4	3	3	0	3	3	3	2	1	5	7	4	1	7	2
försöker stötta	52		0	0	0	0	0	2	1	1	3	2	1	5	6	7	4	4	4	2	8	2
försöker anpassa	51		0	0	0	0	1	2	1	0	0	0	1	1	2	6	8	3	8	8	5	5
försöker hantera	50		0	1	0	0	0	1	0	1	2	1	5	2	6	4	5	4	4	6	5	3
försöker fokusera	49		0	1	0	0	0	1	0	1	2	0	3	3	3	3	3	7	5	6	9	2
försöker lokalisera	47		0	0	1	1	1	0	1	3	2	0	1	5	5	10	6	3	2	3	1	2
försöker övertyga	46		0	2	1	1	1	2	1	4	0	1	7	7	2	4	2	3	0	2	6	0
försöker identifiera	46		1	0	0	0	2	2	1	2	2	3	2	2	9	4	3	4	3	3	2	1
försöker stjäla	46		0	0	0	2	0	1	2	0	0	1	1	4	6	6	4	3	12	2	1	1
försöker arbeta	46		0	0	0	0	2	0	2	2	2	1	7	8	4	2	3	2	3	2	3	3
försöker skrämma	44		1	2	0	3	0	0	0	0	2	3	6	3	6	5	2	1	2	6	2	0
försöker förhindra	44		0	0	0	0	1	1	4	2	2	1	1	3	5	9	0	2	3	4	2	4
försöker titta	44		0	0	0	0	0	1	0	1	1	4	2	6	3	5	5	6	3	1	4	2
försöker föra	42		0	1	1	0	1	1	2	3	2	4	2	2	2	9	3	3	1	3	0	2
försöker övertala	41		1	1	0	1	3	1	3	1	2	1	3	2	5	6	1	2	2	6	0	0
försöker förmå	41		0	1	1	0	1	2	4	3	2	1	3	6	3	3	0	8	2	1	0	0
försöker svara	41		0	0	3	0	0	1	1	0	1	2	4	3	7	5	5	3	0	2	3	1
försöker spara	41		0	0	0	0	2	3	1	2	2	3	2	1	5	1	4	4	1	3	4	3
försöker motverka	40		0	1	0	0	2	0	2	1	1	1	0	1	5	7	4	3	5	2	2	3
försöker pressa	39		0	1	1	0	1	1	2	0	4	5	4	2	2	0	3	4	0	4	2	3
försöker öka	39		0	0	0	1	2	1	2	1	3	1	4	2	2	1	3	5	2	4	5	0
försöker överleva	39		0	0	0	0	1	2	1	2	0	2	1	3	9	3	1	1	3	3	3	4
försöker förbättra	38		0	1	0	0	1	0	3	1	5	4	2	5	2	0	2	3	2	2	4	1
försöker tona	38		0	0	3	0	0	0	0	5	2	5	6	3	1	2	2	4	2	0	3	0
försöker bekämpa	37		0	1	1	0	4	0	4	0	3	2	3	1	6	3	1	2	2	0	4	0
försöker tvinga	37		1	0	2	1	0	1	2	0	0	1	3	4	7	3	0	7	1	1	2	1
försöker ställa	37		1	0	0	0	0	0	0	1	1	0	0	4	5	5	6	3	5	3	3	0
försöker bilda	37		1	0	0	0	1	0	2	0	0	0	2	6	5	4	3	3	0	5	5	0
försöker störa	36		0	2	1	0	1	2	1	1	0	0	0	1	2	3	6	3	1	6	1	5
försöker säkra	36		0	0	2	0	0	0	1	1	1	1	3	3	5	6	3	2	4	3	1	0
försöker flytta	36		0	0	1	0	2	0	3	2	1	2	2	1	5	3	1	3	4	1	4	1
försöker beskriva	36		0	0	0	0	0	0	3	1	1	2	2	3	2	2	5	7	6	2	0	0
försöker lämna	35		0	1	0	0	1	4	1	1	1	2	1	4	3	4	0	1	1	3	5	2
försöker skada	35		0	0	0	0	0	2	0	1	0	3	1	9	5	4	2	2	1	2	1	2
försöker tjäna	33		0	0	0	1	0	3	2	0	0	5	1	5	2	3	2	4	3	1	1	0
försöker genomföra	32		0	2	1	0	1	3	1	1	1	1	4	0	6	1	0	6	1	2	0	1
försöker ordna	32		0	1	1	0	0	0	1	3	0	0	1	2	3	2	4	3	5	1	2	3
försöker klara	32		0	0	0	1	0	1	2	0	0	2	3	2	4	4	1	3	4	0	5	0
försöker åtgärda	32		0	0	0	0	1	0	0	2	2	5	0	3	5	4	5	1	1	2	1	0
försöker trycka	31		0	0	0	0	1	1	1	0	0	3	1	2	3	5	2	5	2	0	4	1
försöker minimera	31		0	0	0	0	0	1	1	0	1	3	0	2	4	3	9	2	5	0	0	0
försöker värva	30		0	2	0	0	4	0	0	1	2	0	2	5	1	5	4	0	2	0	1	1
försöker förebygga	30		0	0	1	1	0	1	1	2	0	2	7	3	2	4	1	0	1	1	1	2
försöker stänga	30		0	0	0	0	1	0	2	1	1	4	0	3	4	1	2	3	0	1	4	3
försöker kringgå	29		0	1	1	3	1	1	2	0	1	3	1	4	2	1	2	1	1	3	0	1
försöker möta	29		0	0	2	0	0	0	1	1	1	1	1	0	5	0	3	4	3	3	2	2
försöker åka	29		0	0	1	0	0	0	2	2	2	2	0	3	3	1	3	3	1	1	2	3
försöker starta	29		0	0	0	0	1	1	0	2	2	1	1	2	6	2	2	3	0	3	3	0
försöker förändra	29		0	0	0	0	0	0	2	0	2	2	4	3	5	2	3	3	1	0	1	1
försöker skriva	29		0	0	0	0	0	0	0	0	1	1	8	1	4	2	1	3	2	3	1	2
försöker kontrollera	28		0	1	0	2	1	2	1	1	2	1	1	2	2	3	1	2	2	2	2	0
försöker öppna	28		0	0	1	1	0	1	0	3	0	3	2	2	5	1	0	3	1	1	2	2
försöker bidra	28		0	0	0	0	2	3	1	1	0	2	1	2	0	4	3	1	0	2	3	3
försöker gömma	28		0	0	0	0	0	1	1	1	1	0	2	3	2	5	4	2	2	4	0	0
försöker förbereda	27		0	1	0	0	1	0	0	1	2	2	0	1	0	2	0	2	6	2	5	2
