"word"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"
"Σ"	"7893647"	"12204"	"93951"	"118937"	"161857"	"228571"	"270473"	"306858"	"291375"	"305953"	"451861"	"534064"	"653306"	"746360"	"725240"	"638844"	"607941"	"549895"	"497193"	"459490"	"239274"
"ha"	"546279"	"939"	"6909"	"8813"	"11786"	"15939"	"19008"	"20796"	"19429"	"20492"	"31924"	"37841"	"46680"	"54618"	"54796"	"46716"	"42785"	"34510"	"29917"	"27451"	"14930"
"vara"	"394581"	"534"	"4000"	"5148"	"6882"	"10041"	"12271"	"14269"	"13769"	"15013"	"22296"	"27139"	"33338"	"38969"	"38499"	"34293"	"31753"	"27581"	"24153"	"22585"	"12048"
"få"	"351703"	"555"	"4368"	"5509"	"7767"	"10970"	"12978"	"14466"	"13560"	"14428"	"20566"	"24312"	"29338"	"33889"	"31655"	"27944"	"25818"	"22545"	"21566"	"19718"	"9751"
"ta"	"254385"	"370"	"2727"	"3683"	"4946"	"7029"	"8230"	"9450"	"9307"	"9813"	"14825"	"17615"	"22829"	"24785"	"23414"	"20231"	"19359"	"17106"	"16299"	"15083"	"7284"
"bli"	"233786"	"376"	"2674"	"3526"	"4877"	"7137"	"8316"	"9389"	"9070"	"9566"	"13296"	"15875"	"18698"	"21832"	"20668"	"18860"	"17828"	"15803"	"14882"	"14045"	"7068"
"göra"	"200312"	"231"	"1842"	"2294"	"3271"	"4737"	"5644"	"6764"	"6472"	"7516"	"11421"	"13615"	"17444"	"19623"	"19343"	"17011"	"16438"	"14253"	"13072"	"12658"	"6663"
"kunna"	"166535"	"241"	"1801"	"2242"	"3126"	"4406"	"5499"	"6176"	"5799"	"6248"	"9453"	"10925"	"14266"	"15730"	"15100"	"13244"	"12250"	"13317"	"11695"	"9866"	"5151"
"se"	"164773"	"152"	"1195"	"1629"	"2358"	"3447"	"4263"	"4995"	"5193"	"5707"	"8872"	"10604"	"13130"	"15220"	"15328"	"13998"	"14744"	"13310"	"12351"	"11907"	"6370"
"gå"	"145315"	"172"	"1471"	"1806"	"2481"	"3817"	"5008"	"5620"	"5194"	"5618"	"8508"	"9577"	"11839"	"14356"	"14076"	"11830"	"11509"	"10150"	"9262"	"8635"	"4386"
"komma"	"124201"	"197"	"1269"	"1645"	"2375"	"3340"	"3989"	"4641"	"4462"	"4632"	"6966"	"8681"	"10666"	"12019"	"11547"	"9844"	"9558"	"9292"	"8203"	"7306"	"3569"
"ge"	"76106"	"143"	"1170"	"1491"	"1747"	"2384"	"2901"	"3259"	"3187"	"3315"	"4516"	"5322"	"6497"	"6882"	"6591"	"6046"	"5145"	"4709"	"4529"	"4184"	"2088"
"säga"	"75289"	"95"	"626"	"825"	"1170"	"1783"	"2329"	"2697"	"2578"	"2912"	"4390"	"5147"	"6424"	"7640"	"7662"	"6412"	"6278"	"5160"	"4635"	"4346"	"2180"
"hålla"	"57170"	"83"	"591"	"675"	"849"	"1338"	"1623"	"1982"	"1810"	"2051"	"2977"	"3622"	"4322"	"5059"	"5114"	"4577"	"4422"	"5960"	"4674"	"3604"	"1837"
"lämna"	"52974"	"111"	"746"	"946"	"1131"	"1605"	"1931"	"1984"	"2067"	"1962"	"2965"	"3191"	"3892"	"5153"	"4814"	"4403"	"4445"	"3588"	"3380"	"3120"	"1540"
"betala"	"51010"	"85"	"728"	"1185"	"1656"	"2238"	"2732"	"2585"	"2647"	"2626"	"3724"	"3622"	"4091"	"4578"	"4171"	"3372"	"3191"	"2435"	"2065"	"2018"	"1261"
"hitta"	"48154"	"39"	"350"	"533"	"731"	"1135"	"1358"	"1604"	"1623"	"1902"	"2655"	"3503"	"4312"	"4879"	"4681"	"4288"	"3858"	"3325"	"3015"	"2798"	"1565"
"fortsätta"	"47335"	"71"	"580"	"694"	"881"	"1296"	"1510"	"1859"	"1597"	"1747"	"2656"	"3104"	"3758"	"4380"	"4426"	"3881"	"3567"	"3473"	"3144"	"3114"	"1597"
"spela"	"43442"	"101"	"794"	"807"	"928"	"1301"	"1342"	"1407"	"1419"	"1603"	"2328"	"2463"	"2761"	"2826"	"2632"	"3404"	"4124"	"3984"	"3765"	"3532"	"1921"
"bygga"	"42374"	"36"	"420"	"646"	"992"	"1496"	"1620"	"1706"	"1551"	"1551"	"2474"	"3061"	"3630"	"4654"	"4279"	"3286"	"2845"	"2121"	"2426"	"2354"	"1226"
"hjälpa"	"39410"	"64"	"363"	"385"	"517"	"779"	"1055"	"1321"	"1334"	"1457"	"2180"	"2758"	"4357"	"3789"	"3667"	"3434"	"2710"	"3029"	"2290"	"2632"	"1289"
"åka"	"38131"	"29"	"283"	"377"	"626"	"944"	"1035"	"1214"	"1201"	"1413"	"2053"	"2515"	"3331"	"3927"	"3771"	"3225"	"3162"	"2731"	"2532"	"2505"	"1257"
"jobba"	"36865"	"13"	"196"	"285"	"486"	"719"	"907"	"1122"	"1046"	"1320"	"1913"	"2559"	"3287"	"4055"	"3945"	"2969"	"2858"	"2838"	"2601"	"2494"	"1252"
"öka"	"35372"	"54"	"492"	"612"	"918"	"1260"	"1420"	"1533"	"1273"	"1405"	"1895"	"2461"	"2791"	"3057"	"2991"	"2729"	"2372"	"2512"	"2285"	"2330"	"982"
"finnas"	"35313"	"42"	"372"	"414"	"641"	"915"	"1169"	"1338"	"1283"	"1368"	"2208"	"2430"	"3204"	"3586"	"3694"	"3035"	"2689"	"2204"	"2029"	"1761"	"931"
"använda"	"35210"	"30"	"395"	"468"	"689"	"918"	"1224"	"1358"	"1296"	"1445"	"2014"	"2354"	"3048"	"3427"	"3400"	"2947"	"2684"	"2477"	"2168"	"1861"	"1007"
"minska"	"34970"	"43"	"483"	"584"	"1000"	"1352"	"1566"	"1435"	"1260"	"1402"	"1804"	"2164"	"2781"	"2787"	"2609"	"2598"	"2658"	"3243"	"2361"	"1875"	"965"
"visa"	"34791"	"44"	"323"	"419"	"597"	"858"	"1012"	"1287"	"1313"	"1402"	"2152"	"2513"	"3061"	"3494"	"3260"	"2742"	"2772"	"2052"	"2167"	"2193"	"1130"
"försöka"	"33899"	"69"	"366"	"528"	"636"	"919"	"1119"	"1323"	"1294"	"1320"	"1926"	"2463"	"2926"	"3310"	"3078"	"2877"	"2511"	"2273"	"2123"	"1901"	"937"
"berätta"	"33773"	"15"	"129"	"215"	"287"	"507"	"549"	"643"	"714"	"828"	"1149"	"1285"	"1636"	"1957"	"2224"	"2485"	"3363"	"4273"	"4695"	"4258"	"2561"
"lägga"	"32895"	"54"	"417"	"504"	"798"	"1076"	"1366"	"1245"	"1199"	"1363"	"2126"	"2293"	"2746"	"3036"	"3007"	"2523"	"2605"	"1898"	"1917"	"1833"	"889"
"sätta"	"32362"	"42"	"405"	"501"	"623"	"902"	"1042"	"1300"	"1204"	"1320"	"1832"	"2197"	"2763"	"3022"	"2847"	"2665"	"2512"	"2261"	"2021"	"1959"	"944"
"börja"	"31686"	"50"	"395"	"410"	"681"	"903"	"1111"	"1205"	"1241"	"1177"	"1922"	"2155"	"2670"	"3111"	"2983"	"2427"	"2175"	"2336"	"2165"	"1648"	"921"
"köra"	"31221"	"57"	"402"	"484"	"629"	"970"	"1037"	"1153"	"1065"	"1118"	"1690"	"2115"	"2587"	"2804"	"2982"	"2570"	"2564"	"2095"	"2018"	"1853"	"1028"
"stå"	"30204"	"42"	"323"	"460"	"564"	"864"	"1002"	"1157"	"1130"	"1121"	"1736"	"2145"	"2517"	"2894"	"2783"	"2420"	"2369"	"1941"	"1931"	"1867"	"938"
"nå"	"30119"	"43"	"396"	"429"	"528"	"705"	"844"	"1023"	"924"	"1000"	"1506"	"1788"	"2132"	"2313"	"2275"	"2229"	"3186"	"2739"	"2680"	"2347"	"1032"
"ställa"	"28799"	"50"	"371"	"388"	"564"	"680"	"905"	"1224"	"1105"	"1108"	"1590"	"1872"	"2160"	"2438"	"2349"	"2110"	"2186"	"2884"	"2127"	"1882"	"806"
"vinna"	"27743"	"118"	"622"	"661"	"687"	"900"	"792"	"976"	"924"	"1026"	"1587"	"1658"	"1785"	"1678"	"1454"	"2275"	"2679"	"1758"	"2498"	"2313"	"1352"
"skapa"	"27387"	"37"	"241"	"337"	"469"	"643"	"832"	"1067"	"864"	"974"	"1528"	"1932"	"2413"	"2842"	"2706"	"2364"	"2173"	"1727"	"1680"	"1680"	"878"
"veta"	"27047"	"45"	"239"	"332"	"427"	"643"	"833"	"1021"	"1050"	"1059"	"1669"	"1822"	"2148"	"2705"	"2681"	"2169"	"2192"	"2075"	"1689"	"1482"	"766"
