word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
Σ	65597		13	121	233	389	570	874	965	978	1494	2613	3316	4645	5885	6803	6668	6950	6922	6276	6460	3422
kommer bli	7337	0.11184962726954	2	9	23	48	75	113	128	121	193	336	389	564	684	726	722	761	686	676	721	360
kommer vara	5955	0.202631217891062	1	9	12	23	38	72	69	77	118	182	250	409	547	674	624	699	632	582	615	322
kommer få	3964	0.263060810707807	1	16	20	34	34	90	63	72	107	148	224	327	366	395	384	382	402	369	348	182
kommer kunna	2443	0.300303367532052	0	4	8	12	10	19	27	27	58	84	104	182	197	247	247	233	355	301	207	121
kommer fortsätta	2442	0.337530679756696	0	7	10	21	22	38	36	37	55	102	117	160	205	278	242	250	263	227	243	129
kommer ha	2368	0.373629891610897	2	2	3	7	18	30	37	27	48	88	148	151	242	234	248	236	264	254	219	110
kommer ta	2338	0.40927176547708	1	2	11	21	20	19	32	41	59	107	121	177	256	242	230	227	198	223	235	116
kommer gå	1925	0.438617619708218	1	3	8	3	18	30	31	29	47	72	103	125	176	222	202	187	213	184	173	98
kommer göra	1832	0.466545726176502	0	4	7	6	10	25	19	24	41	80	104	119	148	200	175	207	191	200	179	93
kommer behöva	1176	0.484473375306797	0	1	2	1	7	6	7	13	18	25	36	66	64	110	124	146	172	129	165	84
kommer se	1071	0.500800341479031	0	1	1	4	4	11	19	17	17	53	37	72	79	85	83	128	165	110	110	75
kommer ske	766		1	3	2	3	2	6	13	19	9	27	36	45	83	86	74	87	89	69	67	45
kommer påverka	763		0	0	1	3	10	21	11	7	13	26	24	59	67	66	83	91	84	62	84	51
kommer hända	701		0	1	3	6	4	3	7	14	25	34	33	66	86	62	63	70	76	55	66	27
kommer innebära	673		0	1	5	5	7	14	10	18	16	22	44	52	72	66	60	61	70	54	69	27
kommer hålla	661		0	0	4	2	4	4	6	6	6	25	26	45	59	83	69	82	76	72	55	37
kommer ge	648		0	2	4	4	5	5	14	13	20	41	26	43	51	63	76	61	52	55	66	47
kommer leda	638		0	1	2	5	6	7	11	14	26	36	54	52	43	63	66	63	52	56	52	29
kommer komma	543		0	0	0	4	0	6	4	4	15	15	32	46	63	44	64	47	72	44	56	27
kommer öka	533		0	1	1	7	11	11	13	15	7	23	27	45	32	45	48	40	60	61	56	30
kommer kosta	520		0	4	3	8	11	11	18	16	25	26	28	38	46	41	43	47	48	44	42	21
kommer stå	480		0	2	5	4	6	9	8	8	7	22	35	33	45	47	45	38	53	42	48	23
kommer ligga	440		0	0	0	3	4	4	9	7	13	20	22	29	45	56	55	52	38	25	36	22
kommer spela	431		0	1	4	6	7	7	11	10	11	30	33	29	28	33	49	50	33	36	28	25
kommer pågå	411		0	0	1	5	4	3	7	8	7	10	22	28	37	57	34	40	52	32	40	24
kommer jobba	364		0	0	1	1	2	2	3	7	8	8	28	27	40	43	32	39	39	31	40	13
kommer börja	321		0	0	1	4	4	4	3	4	6	17	12	24	27	42	32	27	45	31	23	15
kommer dröja	303		0	0	2	5	3	6	6	10	8	11	12	22	32	37	33	20	37	26	20	13
Kommer bli	283		0	0	0	1	0	1	3	4	3	4	3	17	22	20	31	33	25	36	54	26
kommer följa	274		0	0	1	2	1	2	3	1	8	12	16	14	22	31	29	19	29	35	34	15
kommer klara	271		0	0	3	4	3	1	5	2	5	9	18	20	31	22	23	28	45	25	25	2
kommer överklaga	267		0	1	7	1	1	0	4	7	6	13	9	13	20	26	21	29	29	34	28	18
kommer åka	241		0	0	0	1	1	2	1	1	5	10	23	23	25	35	21	20	20	18	22	13
kommer lämna	234		0	1	2	1	3	6	4	1	3	12	9	10	24	27	22	26	23	21	21	18
kommer försöka	234		0	0	0	0	1	4	3	3	6	8	18	18	23	25	21	19	25	25	24	11
kommer hjälpa	233		0	1	3	1	1	2	4	4	5	9	11	24	23	21	28	29	16	18	22	11
kommer köra	226		1	0	0	2	4	3	3	5	6	10	6	10	27	15	18	16	23	24	32	21
kommer lägga	219		0	0	0	0	1	3	5	1	4	12	13	16	23	18	31	22	17	22	21	10
kommer sluta	207		0	0	2	2	1	7	1	6	3	7	12	15	19	26	16	17	25	19	18	11
kommer vilja	207		0	0	0	1	1	3	1	6	2	10	7	14	14	18	21	23	25	17	30	14
kommer ställa	199		0	1	0	1	2	4	4	6	2	16	9	14	19	23	16	20	17	20	15	10
kommer slå	199		0	1	0	2	1	6	2	2	5	7	13	13	17	21	21	25	22	16	14	11
kommer fungera	197		0	0	1	1	0	3	3	1	5	8	12	14	17	20	25	21	21	18	12	15
kommer rösta	191		0	0	1	1	3	1	4	3	3	8	10	7	13	16	27	22	18	21	28	5
kommer kräva	187		0	0	1	3	4	0	0	7	7	6	8	17	12	15	22	21	19	25	15	5
kommer sakna	187		0	0	0	0	1	1	2	0	1	8	12	13	9	16	14	28	19	20	25	18
kommer titta	184		0	0	0	0	0	2	1	2	4	5	7	13	19	20	18	23	23	17	12	18
kommer använda	183		0	1	0	0	2	2	1	2	4	6	9	8	17	11	15	30	19	17	27	12
kommer arbeta	182		0	0	0	1	2	4	5	1	9	5	4	15	9	23	16	21	17	18	26	6
kommer stanna	181		0	0	2	0	5	3	2	1	4	8	16	18	21	18	18	17	9	14	20	5
kommer dra	179		0	0	2	0	3	3	4	0	1	10	11	12	17	19	24	16	15	20	15	7
kommer delta	174		0	0	1	0	0	1	1	5	4	12	10	6	15	24	20	20	9	19	15	12
kommer genomföra	173		0	0	1	1	1	1	2	2	0	3	5	13	13	21	21	23	24	17	16	9
kommer lösa	173		0	0	0	2	2	1	0	1	2	8	10	17	16	11	21	21	19	14	17	11
kommer visa	173		0	0	0	0	0	1	5	3	2	13	7	8	19	15	25	19	19	13	17	7
kommer vinna	171		0	0	1	1	1	4	0	2	10	8	12	14	16	18	10	16	13	17	19	9
kommer sitta	170		0	0	1	3	0	2	2	0	8	9	4	18	17	17	20	14	19	12	17	7
kommer minska	169		0	1	2	0	7	6	3	1	0	3	8	13	17	13	17	25	23	10	14	6
kommer försvinna	169		0	0	0	0	2	8	3	3	3	7	12	16	14	16	11	23	16	14	13	8
