"word"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"
"Σ"	"1353"	"1"	"9"	"15"	"25"	"27"	"37"	"26"	"43"	"51"	"79"	"104"	"134"	"133"	"147"	"101"	"111"	"103"	"72"	"87"	"48"
"försöker att få"	"90"	"0"	"0"	"3"	"1"	"2"	"2"	"2"	"4"	"2"	"5"	"7"	"5"	"10"	"16"	"6"	"5"	"3"	"4"	"11"	"2"
"försöker att ta"	"61"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"4"	"3"	"7"	"6"	"5"	"4"	"6"	"5"	"6"	"4"	"2"
"försöker att göra"	"58"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"4"	"4"	"5"	"2"	"7"	"6"	"7"	"5"	"4"	"4"	"2"
"försöker att hitta"	"52"	"0"	"0"	"0"	"0"	"4"	"2"	"1"	"0"	"3"	"3"	"7"	"8"	"4"	"7"	"2"	"5"	"1"	"2"	"2"	"1"
"försöker att vara"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"6"	"1"	"3"	"2"	"5"	"2"	"9"	"2"	"4"	"7"	"0"	"5"	"1"
"försöker att hålla"	"42"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"0"	"3"	"2"	"7"	"2"	"5"	"0"	"3"	"1"	"7"	"4"	"2"	"1"
"försöker att se"	"25"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"1"	"3"	"2"	"5"	"2"	"2"	"2"
"försöker att komma"	"23"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"1"	"1"	"0"	"1"	"2"	"4"	"0"	"2"
"försöker att ha"	"23"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"3"	"3"	"3"	"1"	"2"	"2"	"1"	"1"	"0"
"försöker att lösa"	"22"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"1"	"1"	"2"	"5"	"1"	"0"	"1"	"4"	"2"	"1"	"0"
"försöker att hjälpa"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"2"	"1"	"4"	"1"	"3"	"1"	"1"	"2"	"1"
"försöker att undvika"	"19"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"6"	"3"	"3"	"1"	"0"	"0"	"1"	"1"	"0"
