period	v1ipm	v1abs
1998	323.32115490316534	10
1999	312.3483947286224	188
2000	1470.5803136160655	273
2001	1061.0566508793186	289
2002	869.1382550638591	154
2003	959.7554952990617	206
2004	1975.7981932117218	1148
2005	788.9968681946547	3589
2006	615.7608788457338	4832
2007	1032.0052160670114	18894
2008	1377.157199047699	57079
2009	1377.4506115022355	98403
2010	1334.685818449193	122501
2011	1249.915079283267	116645
2012	1248.4980152630721	88813
2013	1341.3032941449944	69208
2014	1874.7363513243488	40109
2015		
2016		
2017		
