period	v1ipm	v1abs
2004	758.0687360377826	339
2005	758.336398389891	2503
2006	681.189929989878	2842
2007	666.6447403374461	3689
2008	649.7633738303545	4999
2009	697.1008302124425	6177
2010	746.6577645722842	7372
2011	755.9709482433833	7051
2012	755.2905699945027	7209
2013	774.0389887313474	10807
2014	808.5974056960836	13000
2015	867.6368286658086	16663
2016	831.2186239360223	18062
2017	812.0505411420216	17203
2018	732.5574017312906	13785
2019	707.4775435114558	12929
2020	680.9658895556069	10913
2021	663.5959221563262	9940
2022	675.8372453024906	6444
