period	v1ipm	v1abs
2003	0.29220700002323047	2
2004	0.29027867198295465	28
2005	0.258195379542044	60
2006	0.3303894250061247	155
2007	0.40475212317726555	257
2008	0.48815400999522957	304
2009	0.529235247499636	314
2010	0.6964420744836111	287
2011	0.6348691148981107	229
2012	0.6438488560196818	187
2013	0.6594020741256398	137
2014	0.967208045490595	134
2015	1.497571833650937	133
2016	1.969999749372254	126
2017	1.7546001025108864	108
2018	1.5917223082675862	90
2019	1.6166380896755703	74
2020	2.6615396939991847	111
2021	2.4317216169023026	99
2022	2.999646859756056	99
