period	v1ipm	v1abs
2000	1912.3797273614057	11906
2001	2028.5278463321524	11970
2002	2848.5760750036	32955
2003	2509.6536534513816	32192
2004	2236.3354812873517	107176
2005	2411.7179077373653	195155
2006	2262.0407901068306	273396
2007	2244.876053739701	385535
2008	2090.154155214482	506025
2009	2077.288507086636	618964
2010	1989.001716171006	714779
2011	1946.583825083362	724079
2012	1828.8653147431212	657547
2013	1686.7087729517718	546548
2014	1691.340939554024	471658
2015	1635.355794560578	394367
2016	1524.9370571375011	339873
2017	1587.419914757883	297483
2018	1614.1202327241867	306406
2019	1609.3048473808171	300676
2020	1627.2839058060117	359304
2021	1703.2205754378192	363597
