period	v1ipm	v1abs
2003	682.0111380542199	4668
2004	677.705796375067	65370
2005	718.1660371717098	166887
2006	769.813356135115	361152
2007	808.1075858747507	513116
2008	812.6447907119307	506068
2009	856.846585503356	508330
2010	860.8392085461917	354791
2011	897.4590790323149	323716
2012	885.0643668292496	257058
2013	894.4624681563351	185831
2014	887.1219972902434	122883
2015	873.6722699971697	77568
2016	844.2992238240339	53982
2017	913.0074045638248	56186
2018	902.1248258680239	50991
2019	899.437957829297	41151
2020	917.8284922421857	38264
2021	868.5746345490716	35347
