period	v1ipm	v1abs
2000	2760.470182633388	17186
2001	2786.3872054630947	16442
2002	2915.73867886577	33732
2003	2883.466689867242	36987
2004	2889.525056436819	138480
2005	3001.847626413199	242908
2006	3183.401520712679	384754
2007	3101.6537708741275	532678
2008	3147.149892601124	761923
2009	3193.9178341385455	951683
2010	3318.3661936709636	1192507
2011	3328.2951705631644	1238040
2012	3408.686182249142	1225553
2013	3508.7405056164366	1136945
2014	3661.460628377241	1021058
2015	3936.843096388808	949372
2016	3824.8585294275213	852472
2017	4114.6407860989775	771085
2018	4383.91527813165	832192
2019	4335.809034610309	810085
2020	4345.080456223553	959393
2021	4356.102196644742	929924
