period	v1ipm	v1abs
2004	76.0304926999546	34
2005	174.20832164370248	575
2006	270.1270412028827	1127
2007	340.46047459901024	1884
2008	390.1959688415131	3002
2009	337.8856865235637	2994
2010	296.1512891493976	2924
2011	287.54986288310226	2682
2012	324.78856526327627	3100
2013	256.4850206946382	3581
2014	183.30281189125833	2947
2015	160.63491666770807	3085
2016	112.70370999996226	2449
2017	99.12841576459022	2100
2018	82.15696358916034	1546
2019	69.16634039743833	1264
2020	66.95467786064017	1073
2021	47.13266811291412	706
2022	51.809993665336805	494
