period	v1ipm	v1abs
2003	0	0
2004	0.09330506604521345	9
2005	0.03872973592439398	9
2006	0.03623632200342627	17
2007	0.011024314391549009	7
2008	0.0	0
2009	0.0016856107031546455	1
2010	0.0	0
2011		
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
