period	v1ipm	v1abs
2003	0	0
2004		
2005	0.2194685035715659	51
2006	0.7588312137188089	356
2007	1.0079373157987666	640
2008	0.772389960280031	481
2009	0.3522926369593209	209
2010	0.19898439770860146	82
2011	0.13584595866728683	49
2012	0.006886121766657677	2
2013	0.0	0
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
