period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006		
2007	0.022048632672234954	14
2008	0.07386687238226644	46
2009	0.062367603060264336	37
2010	0.03154225927687143	13
2011	0.03604075185477422	13
2012	0.027544425517330707	8
2013	0.03369317970141874	7
2014	0.028876964178616845	4
2015	0.022526615872451777	2
2016	0.04692115281894153	3
2017	0.0	0
2018		
2019		
2020		
2021		
