period	v1ipm	v1abs
2003	810.1439075644065	5545
2004	1152.6804186930065	111185
2005	1278.908488493021	297192
2006	1481.4950949774643	695032
2007	1582.9233113167604	1005093
2008	1594.8323429787645	993169
2009	1529.96158361296	907660
2010	1493.5186977769522	615547
2011	1497.2686779581586	540069
2012	1388.6315541370896	403314
2013	1342.1774400287875	278847
2014	1287.768217545418	178380
2015	1287.8466294280681	114340
2016	1219.5902444542012	77977
2017	1122.4014424951501	69072
2018	1077.9463731896378	60929
2019	1187.4696802242443	54329
2020	1074.3419490653162	44789
2021	964.4331133273535	39248
