period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006		
2007		
2008		
2009		
2010		
2011		
2012		
2013		
2014	0.08663089253585053	12
2015	0.06757984761735533	6
2016	0.21896537982172715	14
2017	0.19499677597205525	12
2018	0.2830695066558487	16
2019	0.24042714724119138	11
2020	0.5037214702353622	21
2021	0.3685919460841394	15
