period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006	0.03836787035656899	18
2007	0.033072943174647026	21
2008	0.03211600666445035	20
2009	0.0	0
2010	0.004853277992892719	2
2011	0.0	0
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
