period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006	0.3026800255050126	142
2007	0.39845029043396024	253
2008	0.9731157535576839	606
2009	4.085920805894074	2424
2010	6.196840784086896	2554
2011	2.492356609034002	899
2012	0.0	0
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
