period	v1ipm	v1abs
2003	0	0
2004		
2005	0.16782898278294106	39
2006	0.5392820172730154	253
2007	0.29765654107517187	189
2008	0.08671328497048668	54
2009	0.123049595227008	73
2010	0.07521615673715495	31
2011	0.0	0
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
