period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006	0.07673574071313798	36
2007	0.02519843289496916	16
2008	0.019269603998670212	12
2009	0.003371221406309291	2
2010	0.0	0
2011		
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
