period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006	0.4028626387439744	189
2007	0.026773334950904736	17
2008	0.008029001666112588	5
2009	0.0	0
2010		
2011		
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
