period	v1ipm	v1abs
2003	0	0
2004		
2005	0.06454960876266963	15
2006	0.08739352849088391	41
2007	0.06299609334924272	40
2008	0.011240611014692717	7
2009	0.005056832680561974	3
2010	0.0	0
2011		
2012		
2013		
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
