period	v1ipm	v1abs
2003	0	0
2004		
2005		
2006		
2007	0.056696484014318455	36
2008	0.7161875017932788	446
2009	0.492198380908032	292
2010	0.25233807421497145	104
2011	0.18297612480116143	66
2012	0.006886106379332677	2
2013	0.0	0
2014		
2015		
2016		
2017		
2018		
2019		
2020		
2021		
