period	v1ipm	v1abs
1998	517.3138478450645	16
1999	616.3896512995688	371
2000	506.353661098572	94
2001	730.6237838234754	199
2002	502.2941863680744	89
2003	666.2380379988632	143
2004	423.38532711679755	246
2005	927.4945073595007	4219
2006	895.4784138346381	7027
2007	807.3499046621412	14781
2008	714.2137634893741	29602
2009	703.290282035053	50242
2010	706.2228068836845	64819
2011	724.1567238884065	67580
2012	764.8742527610119	54410
2013	823.77899256781	42505
2014	1263.2700732315236	27027
2015		
2016		
2017		
