period	v1ipm	v1abs
2004	4.472381923526742	2
2005	9.392100819051786	31
2006	9.34778580915033	39
2007	10.300555760161137	57
2008	12.60793103851658	97
2009	15.573889358801534	138
2010	17.116815275734677	169
2011	14.795652737024213	138
2012	17.081325447978717	163
2013	16.478189611518797	230
2014	16.54692437153568	266
2015	18.749892578740436	360
2016	18.09233249250791	393
2017	20.54869746058252	435
2018	26.5997544523467	500
2019	23.504963766194315	429
2020	30.189173612312132	483
2021	37.76808151916192	565
2022	32.794102548659055	459
