year	v2rel_macroave	total_occurrences	total_authors
2004	0.6224999999999999	63.0	10.0
2005	0.49871550671550674	184.0	25.0
2006	0.5411989673637645	390.0	61.0
2007	0.5549313561218324	399.0	63.0
2008	0.5914570462217522	558.0	75.0
2009	0.5794710129912908	742.0	108.0
2010	0.5961919992583321	569.0	94.0
2011	0.6372066762026194	577.0	91.0
2012	0.6609203532169872	391.0	62.0
2013	0.5944097055208166	171.0	27.0
2014	0.5288600288600288	148.0	22.0
2015	0.6280620532813515	130.0	18.0
2016	0.7584325396825398	97.0	16.0
2017	0.7697278911564626	113.0	21.0
2018	0.573015873015873	102.0	14.0
2019	0.7417748917748918	75.0	11.0
2020	0.7086050724637681	68.0	8.0
