year	v2rel_macroave	total_occurrences	total_authors
2004	0.977810650887574	177.0	26.0
2005	0.9890488991295442	441.0	62.0
2006	0.9756529164080225	1079.0	134.0
2007	0.9678034838079906	1406.0	171.0
2008	0.9799495225425515	1514.0	196.0
2009	0.9861337667207967	1846.0	244.0
2010	0.9823314000123448	1597.0	223.0
2011	0.9855373354415763	1573.0	215.0
2012	0.990424654710369	989.0	147.0
2013	0.9835042735042735	382.0	65.0
2014	0.9550070028011203	190.0	34.0
2015	0.9911180773249739	177.0	29.0
2016	0.9904761904761905	89.0	15.0
2017	0.9821428571428572	47.0	8.0
2018	0.9512987012987014	69.0	11.0
2019	0.9797979797979799	76.0	11.0
2021	1.0	22.0	5.0
